,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_FiberOptic,InternetService_None,Contract_Month-to-month,Contract_Oneyear,Contract_TwoYear
671,1,60,43636.68,1,8.670379621,11,1,0,0,0,0,1,1,0,0,1,0,0,1,1,159.994242,906.7867988,0,1,0,1,0,0,0,0,1,1,0,0
672,3,18,44349.71,0,8.82164481,13,2,0,0,0,1,1,0,0,0,0,0,0,0,1,92.455141,1737.354579,0,1,0,1,0,0,1,0,0,0,0,1
673,2,84,37376.03,1,11.35680475,14,2,0,0,0,0,1,1,1,0,1,0,1,1,1,255.155493,1986.939234,0,1,0,0,1,0,0,1,0,0,1,0
674,4,68,60317.8,1,9.271105349,14,1,1,0,0,0,1,0,0,1,1,1,0,0,1,159.983006,532.0660282,0,0,1,1,0,0,0,1,0,1,0,0
675,2,86,72436.33,1,7.92301547,11,0,0,1,0,0,1,1,0,0,0,0,1,0,1,169.944668,1014.45747,0,0,1,1,0,0,0,1,0,1,0,0
676,0,73,54937.5,0,12.07745494,13,1,1,0,0,0,1,1,1,0,0,1,0,0,1,127.511223,871.2907856,0,0,1,1,0,0,0,0,1,1,0,0
677,3,46,4739.77,0,10.10753133,9,1,0,0,0,1,1,0,1,0,1,0,0,0,1,95.019486,794.8748353,0,1,0,0,1,0,0,0,1,1,0,0
678,1,19,48037.69,0,15.4360432,13,2,0,0,0,0,1,1,0,1,0,0,0,0,1,134.980139,949.785575,1,0,0,0,1,0,0,0,1,0,0,1
679,0,27,37415.85,0,8.319615273,14,0,0,1,0,0,1,0,0,0,0,0,0,0,1,112.455141,1751.748167,0,1,0,0,1,0,0,1,0,0,1,0
681,1,56,90059.86,1,8.862064813,10,0,0,0,1,1,1,0,0,0,0,0,0,1,1,127.442069,1390.292533,0,1,0,0,1,0,1,0,0,1,0,0
682,2,42,25670.71,0,13.9772991,12,3,1,0,0,1,1,0,0,0,1,0,1,0,0,129.962093,2283.692222,0,0,1,0,1,0,1,0,0,1,0,0
683,0,76,19288.27,0,11.97665938,12,1,0,0,1,0,1,1,0,0,0,0,0,0,0,112.484375,625.2785223,0,1,0,1,0,0,0,0,1,1,0,0
684,7,42,39087.76,0,8.361906963,14,0,0,0,1,0,1,0,0,0,1,1,1,1,1,212.641455,2129.856605,1,0,0,0,1,0,1,0,0,0,1,0
686,1,27,16593.59,0,6.306089367,11,0,1,0,0,0,1,0,0,1,0,0,0,1,0,149.937833,1554.416773,0,0,1,1,0,0,1,0,0,0,0,1
687,3,74,18326.88,1,9.479801512,20,0,0,1,0,0,1,0,0,0,1,1,1,1,1,232.641455,1328.568048,0,1,0,1,0,0,0,1,0,0,1,0
689,2,30,5850.56,1,9.883677574,9,1,0,0,0,0,1,1,0,1,1,0,0,1,0,194.966286,1503.682743,1,0,0,0,1,0,1,0,0,1,0,0
690,4,23,16064.99,0,10.2900353,9,1,2,0,0,0,1,0,0,0,0,0,0,1,0,114.965789,2253.839865,0,1,0,1,0,0,0,0,1,1,0,0
691,3,44,66365.07,0,14.34431543,11,0,0,0,0,0,1,1,0,1,1,1,0,0,1,192.48852,586.1493754,1,0,0,1,0,0,0,1,0,0,1,0
692,0,77,53562.86,0,8.936042397,11,2,0,0,0,1,1,0,1,0,1,0,1,0,0,152.479779,1813.614194,0,1,0,1,0,0,0,1,0,0,0,1
693,4,78,28937.89,0,8.950709439,10,1,1,0,1,0,1,0,1,1,0,1,1,0,0,154.961766,1831.930109,0,0,1,0,1,0,1,0,0,0,0,1
694,1,20,62952.13,0,14.9103207,15,2,1,0,0,1,1,0,0,0,1,0,0,0,1,124.97808,2580.979643,0,0,1,1,0,0,0,1,0,1,0,0
695,2,53,45777.4,1,12.37429389,11,0,1,0,0,1,1,0,0,1,0,1,1,0,0,152.44408,930.6501084,0,0,1,0,1,0,1,0,0,1,0,0
696,1,20,6396.98,1,5.896054877,11,1,0,0,0,1,1,0,0,0,1,1,1,1,1,232.641455,1561.283799,0,1,0,1,0,0,0,1,0,1,0,0
698,0,43,23311.73,1,8.375886131,18,1,0,0,0,0,0,1,0,1,0,0,1,1,1,242.610632,1300.689811,0,0,1,1,0,0,1,0,0,0,1,0
699,1,38,65056.0,1,10.7721728,9,3,1,0,0,1,1,1,0,1,0,0,0,1,0,202.443347,1252.81737,0,1,0,0,0,1,0,1,0,1,0,0
702,7,36,12145.97,1,7.275899757,15,1,0,0,0,0,1,1,0,0,0,0,1,1,1,240.114868,1885.438773,0,1,0,0,1,0,0,1,0,1,0,0
703,2,38,46111.61,1,6.987857557,16,0,0,0,0,0,1,0,0,1,1,1,1,0,0,184.967019,947.6695867,1,0,0,1,0,0,0,1,0,1,0,0
704,1,33,81170.43,0,13.08571695,11,1,1,0,0,0,1,0,0,1,0,0,1,0,1,127.458638,1025.701125,0,1,0,1,0,0,0,0,1,0,0,1
705,1,66,18893.5,0,8.367217945,16,1,0,0,1,0,1,1,1,0,1,0,1,0,1,184.985293,1982.131752,1,0,0,1,0,0,0,1,0,0,0,1
706,2,78,11583.37,0,15.29183368,11,1,0,1,0,0,1,1,1,1,0,1,1,1,0,277.63748,1780.791626,0,0,1,1,0,0,0,1,0,0,0,1
707,3,80,16852.05,1,8.824004704,14,0,0,0,0,0,1,0,0,1,1,0,1,0,1,172.457857,700.0569426,0,1,0,0,1,0,0,1,0,1,0,0
708,4,38,68180.35,1,6.913368813,9,1,1,0,1,0,1,1,0,1,1,0,0,1,1,194.966286,1924.891176,0,1,0,0,1,0,1,0,0,1,0,0
709,7,80,26569.28,1,15.22907333,12,0,0,0,0,1,1,0,1,1,1,0,1,0,1,174.975543,704.1947645,0,1,0,1,0,0,0,1,0,0,1,0
711,0,20,19474.37,0,11.03086435,14,2,0,0,0,1,1,0,0,0,0,0,0,0,1,112.455141,1064.895012,1,0,0,1,0,0,0,1,0,1,0,0
712,0,18,23775.33,0,11.02449018,12,2,1,0,0,0,1,0,1,0,0,0,0,1,0,149.959755,743.4780761,1,0,0,0,1,0,0,1,0,0,1,0
713,1,49,52875.82,1,10.83227898,13,1,0,0,1,1,1,1,1,1,0,1,1,1,1,277.63748,1251.370845,1,0,0,0,1,0,0,1,0,0,0,1
714,4,80,46786.18,0,10.0934549,11,1,1,0,1,0,1,1,0,0,0,0,0,0,1,112.484375,470.682278,0,0,1,0,1,0,0,0,1,1,0,0
715,0,24,68647.24,0,12.71080854,12,1,1,1,0,0,1,0,0,0,0,0,1,0,1,117.439154,1112.686143,0,1,0,1,0,0,1,0,0,0,1,0
716,2,87,84826.6,1,7.612812481,12,0,0,0,1,0,0,1,0,1,1,0,1,1,0,275.133571,2064.474901,1,0,0,0,1,0,0,1,0,1,0,0
717,0,73,42305.68,1,7.167928889,14,0,0,0,0,0,1,1,0,1,0,0,0,0,1,147.456419,1716.888034,0,0,1,0,1,0,1,0,0,1,0,0
718,2,76,18301.98,1,14.32600086,11,1,1,0,0,0,1,1,0,1,0,1,1,0,0,204.949594,1114.13669,1,0,0,1,0,0,0,1,0,1,0,0
719,1,80,46647.99,0,14.28125681,11,2,1,0,0,0,1,0,0,0,0,1,0,1,1,127.474951,718.0624099,0,1,0,0,1,0,0,0,1,1,0,0
720,0,89,28330.55,0,10.86134286,14,3,0,1,0,1,1,0,0,0,1,0,1,0,0,129.962093,800.1531959,1,0,0,1,0,0,1,0,0,0,1,0
721,6,43,11661.07,1,6.858268186,16,1,2,0,1,1,1,1,0,1,0,0,1,1,0,242.610632,1680.337106,0,0,1,0,1,0,1,0,0,0,1,0
722,0,50,82226.63,0,7.530481623,17,1,1,0,0,0,1,0,0,0,0,0,0,1,0,127.442069,1416.865765,1,0,0,1,0,0,1,0,0,0,1,0
723,0,64,8864.63,0,7.373007212,13,0,1,0,1,1,1,0,0,0,0,1,0,0,0,104.964303,1573.289677,1,0,0,1,0,0,1,0,0,1,0,0
724,0,49,96022.76,1,8.025412394,13,2,0,0,0,1,1,1,0,1,0,0,0,1,1,182.443347,1619.817463,0,1,0,0,1,0,1,0,0,1,0,0
725,3,32,52856.4,1,9.730159336,11,1,0,0,1,1,1,1,0,0,0,0,0,1,0,159.947583,1596.707755,0,1,0,1,0,0,1,0,0,1,0,0
726,0,31,37772.16,0,13.09411393,16,0,1,0,1,1,1,1,0,0,1,0,0,0,0,157.483594,908.0504522,0,1,0,1,0,0,0,1,0,0,0,1
727,4,44,53135.08,0,2.992013152,12,1,1,0,1,1,1,0,0,0,0,1,1,0,0,129.948316,1449.202089,0,1,0,1,0,0,1,0,0,0,1,0
728,3,52,38311.94,0,12.1362412,11,2,1,0,0,0,1,0,0,1,0,0,1,0,0,139.934918,1790.688379,1,0,0,0,1,0,1,0,0,1,0,0
729,2,66,25100.17,1,8.07133879,7,1,1,0,0,1,1,0,1,0,1,0,1,1,1,222.649979,3113.451696,1,0,0,0,1,0,0,1,0,1,0,0
730,1,54,9080.2,0,11.64143982,11,0,0,0,0,1,1,0,1,0,1,0,0,1,0,162.482694,907.2094936,0,0,1,1,0,0,0,1,0,1,0,0
731,0,36,16778.35,1,14.19955362,8,1,0,0,1,0,1,1,0,0,1,0,0,0,1,125.007314,890.4483344,0,0,1,0,1,0,0,0,1,1,0,0
732,0,61,24518.97,1,3.5419259,12,0,1,0,1,0,1,1,0,1,0,1,1,0,1,204.949594,2050.67636,1,0,0,1,0,0,0,1,0,1,0,0
733,1,27,57938.27,0,8.788051372,10,0,0,0,1,0,1,0,0,0,1,0,0,1,1,139.965008,1338.110998,0,0,1,0,1,0,1,0,0,0,1,0
734,4,89,24865.85,0,6.72503168,13,2,0,0,0,0,1,1,1,0,0,0,0,1,1,182.465269,920.3847194,1,0,0,1,0,0,0,1,0,0,0,1
735,1,47,16091.65,0,8.241378511,8,1,0,0,0,0,1,0,1,1,0,0,0,0,0,104.992311,736.1743773,0,1,0,0,1,0,0,0,1,1,0,0
736,2,81,48226.58,1,6.164653674,8,0,0,0,0,1,0,0,0,0,0,1,1,1,1,220.118516,857.7406243,0,1,0,0,1,0,0,1,0,1,0,0
737,3,79,5694.61,1,7.094794839,10,1,0,1,0,1,1,0,1,0,1,1,0,1,0,154.991856,1226.543716,0,0,1,1,0,0,1,0,0,1,0,0
738,3,35,15603.09,0,9.263024683,12,2,0,0,0,0,0,0,1,1,0,0,1,0,0,142.452604,1495.554533,0,1,0,0,1,0,1,0,0,0,1,0
739,0,88,46988.4,1,9.55444436,16,0,0,1,1,0,1,0,0,0,0,0,0,1,0,147.442069,248.179366,1,0,0,0,1,0,0,1,0,1,0,0
740,2,55,88666.42,0,8.433181103,16,2,1,0,0,0,1,0,0,0,1,0,0,0,1,124.97808,395.2218567,1,0,0,0,1,0,0,1,0,1,0,0
741,2,34,65540.61,0,6.674303144,5,0,0,0,1,0,1,0,0,0,0,1,1,1,0,220.118516,1857.957041,0,0,1,1,0,0,0,1,0,1,0,0
743,1,43,18534.37,0,8.586124112,14,1,0,0,1,0,1,0,1,0,1,0,0,0,0,95.019486,318.0435078,0,0,1,1,0,0,0,0,1,1,0,0
744,2,70,27588.53,0,11.18777585,13,4,1,0,0,0,1,0,1,0,1,0,0,1,1,162.482694,1386.813604,1,0,0,0,1,0,0,1,0,0,1,0
745,1,50,3563.55,1,9.545907757,7,2,0,0,0,1,1,1,0,0,0,0,0,1,0,159.947583,1535.462356,0,0,1,0,1,0,1,0,0,1,0,0
748,0,25,59930.95,1,7.482298411,12,1,0,0,1,1,1,1,1,1,0,0,0,1,1,172.484753,866.8410599,0,1,0,0,1,0,0,0,1,1,0,0
749,0,88,38656.75,0,12.11561244,16,3,0,0,0,0,1,0,0,1,0,0,0,1,1,169.937833,1960.019242,0,1,0,1,0,0,0,1,0,1,0,0
750,1,69,23806.03,0,9.098009816,17,1,1,0,0,0,0,0,0,1,1,0,0,0,0,147.473844,1788.145063,1,0,0,1,0,0,0,1,0,1,0,0
751,2,43,91141.18,1,9.981655957,13,0,0,0,0,1,1,0,0,0,0,0,1,1,1,175.133074,1166.469107,1,0,0,1,0,0,0,0,1,1,0,0
752,3,79,23507.1,0,7.607841769,15,0,0,0,0,0,1,1,1,1,1,1,0,0,1,195.006206,1559.679776,0,1,0,0,1,0,0,1,0,0,0,1
753,2,86,37837.28,0,9.830658025,14,1,1,0,1,1,1,0,0,1,0,0,1,0,1,127.458638,1103.202075,0,1,0,0,0,1,0,0,1,0,1,0
754,3,84,9994.08,1,13.98915649,13,1,2,0,1,0,0,0,1,1,1,0,1,1,0,245.145743,1207.841461,1,0,0,1,0,0,0,1,0,1,0,0
755,0,78,31779.0,1,7.999794525,12,3,1,0,0,1,1,0,0,0,1,0,1,1,1,220.132293,2229.321043,0,0,1,0,1,0,0,1,0,0,1,0
756,1,84,18938.33,0,9.685619611,13,0,0,0,1,1,1,0,0,0,0,0,0,1,1,147.442069,1708.75722,0,1,0,1,0,0,0,1,0,0,0,1
757,1,76,29459.16,1,8.157311089,14,1,1,1,1,0,1,1,0,1,0,1,1,1,1,275.119794,830.61429,0,0,1,1,0,0,0,1,0,0,1,0
758,4,74,17520.23,1,4.407345296,14,0,1,0,1,1,1,1,0,0,0,1,1,0,1,162.45383,991.7633623,0,0,1,1,0,0,1,0,0,1,0,0
759,5,76,15615.89,0,5.147134775,16,2,1,1,1,0,1,0,0,0,0,1,0,0,0,124.964303,580.5443061,0,1,0,1,0,0,0,1,0,0,1,0
760,0,55,44493.49,0,13.88702214,12,2,1,0,1,0,1,1,0,1,1,1,0,0,0,192.48852,586.7422583,0,1,0,0,1,0,0,1,0,0,1,0
762,1,63,48557.08,0,11.30766093,11,0,0,0,0,0,1,0,0,0,1,1,0,0,1,137.487242,1096.780158,0,0,1,0,1,0,0,1,0,0,1,0
763,4,89,13756.31,0,9.039378259,13,1,0,0,0,0,1,0,0,0,1,0,0,0,1,124.97808,544.0000763,0,0,1,1,0,0,0,1,0,1,0,0
764,1,46,12366.21,0,11.42897436,12,0,0,0,0,0,1,0,0,1,0,1,1,0,1,172.44408,1003.664665,1,0,0,0,1,0,0,1,0,1,0,0
765,1,22,11232.67,0,9.281101985,14,0,0,1,1,1,1,0,1,0,0,0,0,0,0,114.972827,364.1402725,0,1,0,1,0,0,0,1,0,0,0,1
766,6,81,14999.93,1,12.49098641,14,0,0,0,0,0,1,1,0,1,0,0,0,1,1,202.443347,1026.300872,0,0,1,0,1,0,0,1,0,1,0,0
767,3,58,30300.58,0,12.46342441,15,1,0,0,0,0,1,0,0,1,1,1,0,0,1,159.983006,704.6408647,0,1,0,0,1,0,0,1,0,0,1,0
768,3,48,12339.69,0,12.76368534,10,0,1,0,1,0,1,1,1,1,0,1,1,0,0,187.46728,1532.283357,1,0,0,0,1,0,1,0,0,0,0,1
769,3,78,9297.37,0,14.4902121,13,1,0,0,0,0,1,1,0,0,0,1,0,0,0,157.469817,427.3743388,1,0,0,1,0,0,0,1,0,0,1,0
770,2,72,27581.84,1,10.58136361,15,2,1,0,1,0,1,0,0,0,1,1,1,1,0,212.641455,1092.959251,0,1,0,0,0,1,1,0,0,1,0,0
771,4,76,45553.16,1,14.4386161,15,3,0,0,0,0,1,1,0,0,1,0,0,1,0,172.470522,1587.044822,0,0,1,0,1,0,1,0,0,0,1,0
772,0,41,78642.15,0,13.54202523,15,0,0,0,0,0,1,0,1,1,0,0,0,0,1,104.992311,886.3435693,1,0,0,1,0,0,0,0,1,0,1,0
773,1,29,11408.67,0,8.696229317,16,0,0,0,0,0,1,0,0,1,0,0,0,0,1,134.950905,598.4998978,0,0,1,0,1,0,0,1,0,1,0,0
774,1,88,11391.26,0,9.624347659,7,2,1,0,0,1,1,0,1,1,1,1,1,0,1,187.484705,1099.486982,0,1,0,1,0,0,0,1,0,0,1,0
775,3,89,15872.36,0,7.831185802,8,1,0,0,0,0,1,1,1,0,0,0,0,1,1,149.988989,1657.822806,1,0,0,1,0,0,0,0,1,1,0,0
776,3,30,30446.44,0,10.02846403,14,1,0,0,1,0,1,1,1,1,0,1,0,0,0,182.483267,2593.301866,0,1,0,0,1,0,0,1,0,0,0,1
777,2,19,75130.89,1,7.92468528,12,1,1,0,1,0,0,0,0,1,0,0,1,1,1,210.105118,1345.804923,0,1,0,0,0,1,1,0,0,0,1,0
778,2,87,18455.86,0,10.85798773,14,1,0,0,1,0,1,0,0,0,1,1,1,0,1,129.994975,752.9918959,0,0,1,1,0,0,0,0,1,0,1,0
779,1,76,10589.74,1,7.892007202,16,2,0,0,0,0,1,1,1,0,0,1,0,1,0,194.974431,982.2094626,0,0,1,1,0,0,0,1,0,1,0,0
780,3,69,7868.29,0,12.48033844,12,0,0,0,0,0,1,0,0,1,1,1,0,0,1,139.983006,1964.354824,0,0,1,0,1,0,1,0,0,0,0,1
781,0,21,33329.83,1,9.783917847,8,1,2,0,1,0,1,1,0,1,0,0,1,1,1,262.610632,1509.912313,0,1,0,1,0,0,0,1,0,0,0,1
782,0,26,27798.01,1,11.87926178,13,0,0,0,1,0,1,1,0,1,0,1,1,1,1,255.119794,1947.487826,0,0,1,0,1,0,1,0,0,0,1,0
784,3,66,45427.24,0,9.862233728,13,1,1,0,1,0,1,0,0,1,0,0,0,0,0,114.950905,868.469474,0,0,1,0,1,0,1,0,0,1,0,0
785,0,45,59333.32,0,12.78434846,5,0,0,0,0,0,1,0,1,1,1,0,0,0,0,129.99153,1523.63262,0,0,1,0,1,0,1,0,0,0,0,1
786,4,50,49740.98,1,9.051251778,11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,129.99153,1848.639719,0,1,0,1,0,0,1,0,0,1,0,0
787,0,65,15543.8,0,7.458066464,14,0,0,0,1,1,1,0,1,0,0,0,0,0,0,114.972827,335.9239723,0,1,0,0,1,0,0,1,0,0,1,0
788,0,70,31138.29,0,12.0778957,8,0,0,0,1,0,1,1,0,1,1,0,0,0,1,159.979358,1358.491904,1,0,0,1,0,0,1,0,0,0,0,1
789,0,47,6972.84,1,9.751202613,12,1,0,0,0,1,1,0,1,1,0,1,0,1,1,164.964681,1714.901159,1,0,0,1,0,0,1,0,0,1,0,0
790,4,39,54471.65,1,8.278970561,13,0,1,0,0,0,1,1,0,1,0,1,0,0,1,159.965581,1354.241904,1,0,0,0,1,0,1,0,0,1,0,0
791,2,84,1425.61,0,12.48971668,17,2,1,0,0,0,1,1,1,0,1,0,0,0,0,160.00128,513.2164776,0,1,0,0,1,0,0,1,0,1,0,0
792,0,83,29470.61,0,10.4673283,14,1,0,0,0,0,1,0,1,0,0,0,0,1,1,149.959755,639.7187297,0,0,1,0,1,0,0,1,0,1,0,0
793,1,31,5149.97,1,13.84635691,10,0,0,0,1,0,0,0,0,1,1,0,1,1,1,222.628057,1444.321124,0,1,0,0,0,1,1,0,0,1,0,0
794,0,62,57559.65,1,10.02798635,10,1,0,0,1,0,1,1,0,1,1,0,1,0,0,204.963371,854.4182496,0,1,0,0,1,0,0,1,0,0,1,0
796,2,40,74381.07,1,15.15657239,10,1,0,0,1,1,1,1,0,0,0,0,1,1,1,220.114868,1211.247766,1,0,0,1,0,0,1,0,0,1,0,0
797,4,67,62905.7,1,8.441192512,13,1,0,0,1,0,1,1,0,0,0,1,1,0,0,149.97755,1096.234525,0,1,0,1,0,0,0,0,1,1,0,0
798,1,33,4297.28,1,10.80087066,13,2,0,0,0,0,1,1,1,1,1,1,1,1,1,270.160419,2312.167935,0,1,0,1,0,0,1,0,0,1,0,0
799,2,77,36678.72,0,10.35866414,4,0,0,0,1,1,1,0,0,1,0,1,1,0,0,152.44408,3088.823891,1,0,0,0,1,0,1,0,0,0,1,0
800,2,20,20433.9,1,10.4009592,13,0,1,0,0,0,1,1,0,0,0,1,1,1,1,232.62403,1810.319743,0,1,0,0,1,0,1,0,0,1,0,0
801,4,75,17089.24,1,10.39432745,18,0,0,0,0,1,1,1,1,0,0,0,1,1,1,222.632554,1479.639912,0,0,1,0,1,0,1,0,0,0,0,1
803,0,73,29249.18,0,6.479792672,13,0,0,0,1,0,1,1,0,1,1,0,0,0,1,179.979358,1232.913132,0,0,1,0,1,0,0,1,0,0,0,1
804,2,63,50264.01,1,12.76255256,10,0,1,0,1,1,1,0,1,1,1,1,0,1,0,165.01134,928.4588213,1,0,0,0,1,0,0,0,1,1,0,0
805,3,67,10231.67,0,5.031953948,11,0,1,0,1,1,1,0,0,1,1,0,1,1,0,242.628057,1779.049529,0,1,0,1,0,0,0,1,0,0,1,0
806,0,44,51937.51,0,12.63331903,18,1,0,0,1,0,1,1,1,0,0,0,0,1,1,182.465269,1039.252532,0,0,1,0,1,0,0,1,0,1,0,0
808,1,61,35808.85,1,10.84787976,9,0,0,1,1,0,1,1,0,1,0,1,0,0,1,179.965581,993.6031859,0,0,1,0,1,0,0,1,0,1,0,0
809,0,41,43329.35,1,8.222455858,15,0,2,0,1,1,1,1,0,1,0,1,1,1,0,255.119794,1590.329883,1,0,0,0,1,0,1,0,0,0,1,0
810,1,49,25435.29,1,12.9775086,11,4,0,1,0,0,1,0,0,1,1,0,0,1,1,182.460772,1048.128938,1,0,0,1,0,0,0,1,0,1,0,0
811,1,45,33809.72,0,3.908365171,13,1,1,0,0,1,1,0,0,1,0,0,1,0,1,127.458638,2678.418264,1,0,0,0,0,1,0,0,1,1,0,0
812,1,39,98173.49,1,6.483393995,15,1,0,0,1,0,1,0,0,0,0,0,1,1,0,207.609354,993.8801154,0,0,1,1,0,0,0,1,0,1,0,0
813,0,52,6990.37,1,5.729464009,15,1,2,0,1,1,1,0,1,1,0,0,0,0,0,117.468591,2268.392356,0,1,0,0,1,0,1,0,0,1,0,0
814,2,42,29345.58,0,7.450205641,14,0,0,1,1,0,1,0,1,0,0,1,0,0,0,95.005709,610.2580075,0,1,0,0,1,0,0,0,1,1,0,0
815,0,29,21616.35,0,14.37269379,14,2,0,0,0,0,1,1,1,1,0,1,0,1,0,217.470195,1243.779967,0,0,1,1,0,0,0,1,0,0,1,0
816,1,52,29736.31,1,3.461555254,7,0,1,0,1,0,1,1,0,0,1,1,1,1,0,245.146969,1460.586413,0,1,0,1,0,0,1,0,0,1,0,0
817,2,80,10670.46,0,10.13650144,7,0,0,0,1,0,1,0,1,1,1,1,0,1,0,177.48762,1774.586726,0,1,0,1,0,0,1,0,0,1,0,0
818,0,83,15842.09,0,6.69907945,13,1,0,0,0,0,1,0,0,1,0,1,1,0,0,172.44408,1022.516053,1,0,0,1,0,0,0,1,0,0,1,0
819,2,73,41717.46,1,7.544577618,10,2,0,0,0,0,1,1,1,1,0,0,1,1,1,232.652038,805.1476345,0,1,0,1,0,0,0,0,1,0,0,1
820,0,34,29907.64,1,9.891516764,12,1,0,0,1,1,0,0,0,0,0,0,0,1,1,147.442069,1173.669727,0,0,1,1,0,0,0,1,0,1,0,0
821,4,82,12482.52,1,10.39942085,14,0,1,0,1,0,1,0,0,1,0,1,1,1,1,242.61428,2551.579661,0,0,1,1,0,0,0,1,0,1,0,0
823,3,64,47300.07,0,12.47369418,16,0,2,0,0,0,1,0,0,0,1,1,1,1,1,212.641455,1094.729266,0,1,0,1,0,0,1,0,0,0,0,1
824,2,47,42440.36,1,14.81572883,14,2,0,0,1,0,0,0,1,1,1,0,1,0,1,154.975543,1396.977223,0,1,0,1,0,0,1,0,0,1,0,0
825,3,37,35223.63,1,7.647106164,7,0,2,1,0,0,1,0,1,1,1,0,1,0,0,154.975543,1526.166139,0,1,0,1,0,0,1,0,0,1,0,0
826,0,84,87580.83,1,9.746705702,15,0,1,0,1,0,1,1,1,1,1,0,1,0,1,207.481057,767.1879493,0,0,1,0,1,0,0,1,0,0,0,1
827,2,45,24608.16,0,12.19720019,12,0,0,0,1,0,1,0,1,0,1,0,0,0,1,127.495766,1224.30253,1,0,0,0,1,0,0,1,0,0,1,0
828,1,20,32011.39,0,14.34937361,13,1,0,0,1,0,1,0,0,0,0,0,0,1,0,127.442069,1311.269805,0,0,1,1,0,0,1,0,0,0,1,0
829,1,56,78944.18,1,9.263624334,17,2,0,0,0,0,1,1,0,0,1,1,1,0,1,194.976769,1120.116258,1,0,0,0,1,0,0,1,0,1,0,0
830,4,80,21878.12,0,11.0781516,17,2,0,0,1,0,1,0,0,1,1,0,0,0,0,114.997564,623.8543707,0,1,0,1,0,0,0,0,1,0,1,0
831,1,76,29005.1,1,11.97165632,14,0,0,0,0,1,1,1,0,0,0,0,1,1,1,207.638588,635.4288732,0,1,0,0,1,0,0,0,1,1,0,0
832,1,79,14715.35,1,9.812128627,15,1,1,0,0,0,1,1,1,0,0,1,1,0,0,184.971516,943.6675679,1,0,0,0,1,0,0,1,0,1,0,0
833,1,18,3401.06,0,11.05079611,14,0,2,0,0,0,1,0,0,1,0,1,0,1,0,182.446995,766.7921091,1,0,0,1,0,0,0,1,0,0,1,0
834,1,19,45181.91,1,13.9416954,11,0,0,0,0,0,1,1,0,0,0,0,1,0,0,169.944668,958.0823564,1,0,0,0,1,0,0,1,0,1,0,0
835,0,47,51909.42,1,10.13282402,11,0,0,0,0,1,1,0,0,0,1,0,1,1,0,220.132293,720.5035962,1,0,0,0,1,0,0,1,0,1,0,0
836,0,56,20070.17,0,6.486151578,11,1,1,0,0,1,1,0,1,1,0,0,1,0,1,142.452604,2044.73861,0,0,1,1,0,0,1,0,0,1,0,0
838,2,24,34292.78,0,16.16759956,9,2,0,0,0,0,1,0,1,1,0,0,0,1,1,139.979239,1214.758985,0,1,0,1,0,0,0,0,1,1,0,0
839,3,57,37119.33,0,5.64473528,11,0,0,0,1,1,1,1,0,0,1,0,0,0,1,157.483594,575.2472429,1,0,0,1,0,0,0,1,0,0,0,1
840,0,65,28056.39,1,7.637291768,12,2,0,0,0,0,1,0,0,0,0,1,1,1,1,200.118516,2441.022927,1,0,0,1,0,0,1,0,0,1,0,0
841,1,43,6169.09,0,7.335113752,14,1,0,0,0,0,1,0,1,0,0,0,0,1,1,149.959755,1732.013844,1,0,0,0,0,1,0,1,0,1,0,0
842,4,70,14219.58,1,11.16404955,12,0,1,0,1,1,1,0,0,1,1,0,0,1,1,182.460772,1815.9129,0,0,1,1,0,0,0,1,0,1,0,0
843,2,60,48525.16,1,8.096814588,14,1,0,1,1,1,1,0,0,0,1,1,1,1,1,212.641455,1404.974888,1,0,0,1,0,0,1,0,0,1,0,0
844,0,62,42076.21,0,7.428239784,15,3,1,0,1,0,1,0,1,1,0,1,0,0,0,149.977753,751.8733285,1,0,0,0,1,0,0,1,0,0,0,1
845,1,22,69595.62,0,13.52402765,7,2,2,0,0,0,1,0,1,1,0,0,1,0,1,129.976324,829.1270366,1,0,0,1,0,0,0,0,1,0,1,0
846,4,65,12476.49,0,8.588524095,11,2,1,0,0,0,1,0,1,0,0,1,1,0,0,152.466002,1277.906866,0,1,0,0,1,0,0,1,0,1,0,0
847,5,86,71049.68,1,12.28484802,13,1,0,0,1,0,1,0,1,0,1,0,0,1,1,142.482694,853.3942121,1,0,0,1,0,0,1,0,0,1,0,0
848,0,44,80844.48,1,6.325988402,8,1,0,0,1,0,1,0,1,0,1,0,1,0,1,132.479779,1371.738945,0,1,0,1,0,0,1,0,0,1,0,0
849,2,27,22864.34,0,12.50317843,11,0,1,0,0,1,1,0,0,1,1,0,0,1,1,149.984492,824.8053885,0,0,1,1,0,0,0,0,1,1,0,0
850,0,22,58126.33,1,16.58995671,17,1,0,0,0,0,1,1,0,0,0,0,1,1,1,240.114868,1549.466596,0,0,1,1,0,0,0,1,0,1,0,0
