,Zip Code,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
1671,93505,45,Female,No,Two Year,Yes,64,94.6,13.0
1672,96097,53,Female,No,Month-to-Month,No,22,39.2,19.0
1673,96121,79,Male,No,Two Year,Yes,38,102.6,24.0
1674,95070,31,Male,No,Month-to-Month,No,5,20.25,21.0
1676,91350,32,Male,Yes,Month-to-Month,Yes,1,70.3,7.0
1678,93546,33,Female,No,One Year,No,11,53.8,17.0
1679,92084,79,Male,No,Two Year,Yes,67,64.55,11.0
1680,95346,76,Male,No,Two Year,Yes,67,101.4,19.0
1681,90303,70,Female,No,Two Year,Yes,72,25.7,21.0
1683,96116,68,Female,No,One Year,No,54,72.1,2.0
1684,95306,67,Female,Yes,Month-to-Month,Yes,12,98.1,27.0
1687,93221,72,Female,Yes,Month-to-Month,Yes,40,55.8,6.0
1688,95206,65,Male,No,One Year,Yes,11,75.2,22.0
1689,95553,33,Male,Yes,Month-to-Month,Yes,5,92.5,25.0
1690,93906,31,Male,No,Month-to-Month,Yes,1,19.75,21.0
1692,94922,58,Male,No,Month-to-Month,No,8,19.65,21.0
1693,95917,37,Male,No,Month-to-Month,Yes,1,74.3,21.0
1694,93066,72,Female,No,Two Year,No,72,111.65,14.0
1696,96002,76,Male,Yes,Month-to-Month,No,40,101.85,3.0
1701,95247,74,Male,Yes,Month-to-Month,Yes,41,83.75,18.0
1703,93287,64,Female,No,Month-to-Month,Yes,1,20.65,21.0
1704,91364,40,Male,No,Month-to-Month,No,4,44.8,19.0
1705,92405,62,Female,No,Two Year,Yes,61,25.0,21.0
1706,92804,41,Male,Yes,Month-to-Month,Yes,10,70.0,27.0
1708,91773,45,Female,Yes,Month-to-Month,Yes,31,19.55,21.0
1709,91325,36,Female,Yes,Month-to-Month,Yes,2,35.1,12.0
1710,95830,47,Male,No,One Year,Yes,31,79.3,6.0
1711,95045,44,Male,Yes,Month-to-Month,Yes,4,44.55,20.0
1713,92253,52,Female,No,One Year,Yes,4,20.4,21.0
1715,93512,69,Female,No,Two Year,Yes,72,110.8,2.0
1716,92673,51,Male,No,Month-to-Month,No,11,70.2,8.0
1717,91360,66,Male,No,One Year,No,23,86.8,2.0
1718,93003,20,Female,Yes,Month-to-Month,Yes,6,98.15,26.0
1719,92509,76,Female,Yes,Month-to-Month,Yes,1,69.55,22.0
1721,90505,62,Male,No,Two Year,No,72,25.75,21.0
1722,91780,38,Female,No,Two Year,No,35,24.3,21.0
1723,90502,46,Male,No,One Year,No,50,54.9,6.0
1724,92629,60,Male,Yes,Month-to-Month,Yes,1,79.5,23.0
1725,90230,77,Female,Yes,Month-to-Month,Yes,2,75.45,25.0
1727,92241,74,Male,No,One Year,Yes,33,54.6,11.0
1729,90701,80,Male,No,One Year,Yes,60,104.35,15.0
1730,95514,34,Male,No,One Year,Yes,25,55.1,25.0
1731,95005,23,Female,No,Two Year,No,10,20.0,21.0
1733,92328,36,Male,No,Month-to-Month,Yes,60,109.45,9.0
1734,93441,74,Female,No,One Year,No,34,64.2,23.0
1736,93453,60,Female,No,Two Year,No,60,20.6,21.0
1737,92706,66,Male,Yes,Month-to-Month,Yes,17,76.45,8.0
1738,95562,55,Female,Yes,Two Year,Yes,71,93.7,17.0
1739,92602,38,Male,No,Two Year,Yes,56,103.2,19.0
1740,92518,46,Male,Yes,Two Year,Yes,61,94.1,11.0
1741,96069,59,Male,No,Month-to-Month,Yes,15,30.2,16.0
1745,94303,58,Female,No,Month-to-Month,No,1,19.95,21.0
1746,90045,70,Female,No,Two Year,Yes,2,84.05,22.0
1747,94585,19,Male,No,Two Year,No,72,20.7,21.0
1749,91364,33,Female,No,One Year,No,57,53.45,11.0
1750,92231,48,Male,No,One Year,No,7,19.5,21.0
1751,91204,51,Male,No,One Year,No,47,94.8,20.0
1753,91766,26,Female,No,One Year,Yes,72,23.3,21.0
1754,92518,45,Male,No,Two Year,Yes,68,24.15,21.0
1755,93306,21,Male,Yes,Month-to-Month,Yes,1,24.05,21.0
1756,95620,43,Male,Yes,Month-to-Month,Yes,4,70.2,15.0
1757,92027,26,Female,Yes,Month-to-Month,Yes,37,99.5,27.0
1758,92285,30,Female,No,Two Year,Yes,72,21.15,21.0
1759,93451,65,Male,No,Two Year,Yes,48,91.05,22.0
1761,95519,30,Female,No,Month-to-Month,No,1,19.55,21.0
1762,93241,61,Male,No,One Year,Yes,35,73.45,20.0
1764,92173,23,Female,No,Two Year,No,37,45.4,27.0
1765,95123,55,Female,No,One Year,No,65,61.35,19.0
1766,96143,57,Female,No,One Year,No,59,65.5,25.0
1767,94592,34,Female,No,Month-to-Month,Yes,22,50.6,8.0
1768,92027,61,Male,No,Month-to-Month,Yes,1,70.45,21.0
1769,90716,45,Male,No,Month-to-Month,No,54,30.4,9.0
1770,92116,48,Male,No,Month-to-Month,Yes,44,111.5,19.0
1771,90240,52,Female,No,Two Year,No,6,20.1,21.0
1772,92321,63,Female,No,One Year,No,50,19.75,21.0
1773,92823,44,Male,No,One Year,No,13,19.3,21.0
1774,94960,36,Male,Yes,Month-to-Month,No,3,24.75,18.0
1775,95660,47,Female,No,Month-to-Month,No,1,20.35,21.0
1776,91980,48,Male,No,Two Year,No,27,19.7,21.0
1778,95957,57,Male,No,One Year,No,14,44.6,19.0
1780,91316,32,Female,No,Month-to-Month,Yes,20,96.55,15.0
1781,94567,54,Female,No,Month-to-Month,No,12,43.8,17.0
1783,90713,47,Male,Yes,Month-to-Month,Yes,6,30.5,14.0
1784,93307,54,Male,No,Two Year,Yes,72,19.8,21.0
1785,95379,32,Male,No,Month-to-Month,No,1,49.0,17.0
1786,94703,46,Female,Yes,Month-to-Month,Yes,4,70.05,19.0
1787,93643,32,Female,Yes,Month-to-Month,Yes,1,77.15,19.0
1788,95444,47,Male,No,Two Year,Yes,64,76.1,20.0
1791,91915,68,Male,No,Month-to-Month,Yes,71,107.5,19.0
1792,95468,42,Male,No,Two Year,No,64,19.55,21.0
1793,93313,54,Male,No,Month-to-Month,Yes,33,72.75,21.0
1794,92692,34,Female,Yes,Month-to-Month,Yes,1,70.15,6.0
1795,94107,35,Female,No,Month-to-Month,No,3,20.85,21.0
1796,91935,19,Female,No,One Year,Yes,70,101.75,26.0
1799,92587,48,Male,No,Two Year,Yes,67,19.4,21.0
1801,94801,49,Female,No,Two Year,No,62,23.65,21.0
1802,94533,71,Male,Yes,Month-to-Month,Yes,66,100.05,14.0
1803,95126,71,Male,Yes,One Year,Yes,53,60.05,6.0
1804,96148,68,Female,Yes,Month-to-Month,Yes,1,69.6,10.0
1806,90740,34,Male,No,One Year,Yes,64,84.3,12.0
1807,93280,61,Female,No,Month-to-Month,Yes,3,46.1,7.0
1808,90701,73,Male,No,One Year,Yes,71,56.45,20.0
1809,92804,59,Male,No,Month-to-Month,Yes,2,19.65,21.0
1811,93925,68,Male,Yes,Month-to-Month,Yes,9,85.05,6.0
1812,94025,26,Female,No,Two Year,No,36,20.25,21.0
1814,93727,45,Male,No,Two Year,No,65,76.15,13.0
1815,93630,25,Male,No,One Year,Yes,33,19.45,21.0
1816,91501,49,Male,No,Two Year,Yes,54,108.0,4.0
1817,92663,22,Female,No,Month-to-Month,No,1,19.9,21.0
1818,91106,70,Female,Yes,Month-to-Month,Yes,15,74.45,19.0
1819,92591,57,Male,Yes,Month-to-Month,Yes,4,100.2,10.0
1820,93065,65,Female,Yes,Month-to-Month,No,26,84.95,3.0
1822,92657,58,Male,Yes,One Year,Yes,67,111.3,21.0
1823,92027,71,Male,Yes,Month-to-Month,Yes,10,95.35,14.0
1824,95503,39,Male,No,Two Year,No,60,76.95,21.0
1825,96107,50,Male,No,One Year,No,65,24.8,21.0
1827,95250,79,Female,No,Two Year,Yes,26,98.1,11.0
1828,95937,44,Female,Yes,One Year,Yes,8,19.75,21.0
1829,95403,32,Male,No,Month-to-Month,No,1,20.45,21.0
1830,90810,58,Female,No,Month-to-Month,Yes,48,100.05,2.0
1831,95942,32,Female,No,Month-to-Month,Yes,41,81.3,19.0
1832,93206,46,Male,Yes,Month-to-Month,Yes,1,25.15,5.0
1833,95360,53,Female,Yes,Month-to-Month,Yes,6,91.1,24.0
1834,95203,35,Female,No,Month-to-Month,No,1,44.75,21.0
1835,93673,33,Female,No,Month-to-Month,Yes,37,88.8,16.0
1837,96056,29,Female,No,One Year,No,7,19.9,21.0
1839,94801,73,Female,No,Two Year,Yes,71,99.65,13.0
1840,93513,80,Male,No,Two Year,Yes,58,98.9,4.0
1841,94621,62,Male,No,Two Year,No,53,19.65,21.0
1842,94945,76,Male,No,Two Year,No,31,89.45,18.0
1843,96007,22,Male,No,Month-to-Month,No,1,20.3,21.0
1845,90716,49,Male,No,Two Year,Yes,49,66.15,13.0
1847,93286,65,Female,No,One Year,Yes,22,20.05,21.0
1848,94514,37,Male,Yes,Month-to-Month,Yes,29,84.45,12.0
1850,92129,69,Female,Yes,Month-to-Month,No,30,91.7,19.0
1851,91730,36,Female,Yes,Month-to-Month,Yes,25,89.1,25.0
1852,93549,73,Male,No,Two Year,Yes,9,79.55,15.0
1853,92120,27,Male,No,One Year,No,5,20.55,21.0
1855,94403,32,Female,No,One Year,Yes,65,108.05,15.0
1856,95682,79,Male,No,One Year,Yes,29,101.45,21.0
1858,90033,47,Female,No,Month-to-Month,Yes,12,79.55,16.0
1859,95640,34,Female,No,One Year,No,55,100.9,18.0
1860,92625,40,Male,Yes,Month-to-Month,Yes,11,73.85,25.0
1861,90242,19,Male,No,Two Year,No,68,25.05,21.0
1862,95439,51,Male,No,Month-to-Month,Yes,34,105.35,18.0
1863,94618,49,Male,No,Month-to-Month,No,1,20.75,21.0
1864,96054,40,Male,No,One Year,No,36,53.65,19.0
1865,90005,35,Female,No,Two Year,No,15,25.2,21.0
1866,94401,38,Male,No,Month-to-Month,Yes,10,51.65,23.0
1867,91352,36,Female,No,Two Year,No,3,71.1,22.0
1868,93432,30,Female,No,Month-to-Month,Yes,1,25.7,21.0
1869,93653,48,Male,No,Month-to-Month,Yes,43,86.1,20.0
1870,95556,24,Female,No,Month-to-Month,No,8,20.05,21.0
1872,94971,64,Male,No,Two Year,Yes,71,19.6,21.0
1873,94086,36,Male,Yes,Month-to-Month,No,17,93.85,13.0
1875,95683,65,Male,Yes,Month-to-Month,Yes,2,94.0,22.0
1876,92029,73,Female,Yes,Month-to-Month,Yes,1,49.55,9.0
1879,92020,52,Male,No,One Year,No,46,56.9,15.0
1882,94590,35,Female,No,Two Year,No,33,19.8,21.0
1883,92880,55,Female,No,One Year,Yes,32,109.55,12.0
1884,93950,44,Female,No,Month-to-Month,Yes,5,20.5,21.0
1887,92037,79,Female,No,One Year,Yes,17,82.65,25.0
1888,95910,39,Male,No,Month-to-Month,No,5,20.35,21.0
1889,90713,35,Male,No,Month-to-Month,Yes,10,24.0,21.0
1890,95337,42,Male,No,Month-to-Month,Yes,1,50.15,2.0
1891,90710,40,Female,No,One Year,Yes,41,56.3,8.0
1893,90813,37,Male,No,One Year,No,22,20.15,21.0
1894,92067,32,Female,No,One Year,Yes,47,103.7,13.0
1895,93446,41,Male,No,Two Year,Yes,65,74.2,18.0
1897,96037,54,Male,Yes,Month-to-Month,No,10,95.2,18.0
1898,95601,40,Female,Yes,Month-to-Month,Yes,9,77.65,23.0
1899,92054,60,Male,No,One Year,Yes,35,89.2,26.0
1900,96073,74,Male,Yes,Month-to-Month,Yes,2,74.7,11.0
1901,95443,67,Male,No,Two Year,Yes,8,43.35,27.0
1903,90804,46,Female,No,Two Year,Yes,36,53.1,9.0
1905,92592,65,Female,Yes,Month-to-Month,Yes,15,83.05,3.0
1906,90744,56,Male,No,Two Year,Yes,10,61.9,19.0
1908,95728,75,Male,Yes,Month-to-Month,No,24,39.1,5.0
1909,96055,39,Male,No,Month-to-Month,Yes,21,36.0,9.0
1910,92627,52,Female,No,Month-to-Month,Yes,11,58.95,10.0
1912,95388,39,Male,No,One Year,No,13,19.45,21.0
1913,94568,49,Female,No,Two Year,No,64,110.3,23.0
1914,93306,60,Male,No,Month-to-Month,Yes,3,80.35,26.0
1916,90013,63,Female,No,Month-to-Month,No,9,20.15,21.0
1917,94555,49,Female,No,Month-to-Month,Yes,1,83.4,9.0
1918,91776,28,Male,No,Month-to-Month,Yes,3,20.5,21.0
1919,91737,61,Male,Yes,One Year,Yes,53,60.45,13.0
1920,90274,56,Female,No,Two Year,Yes,46,19.95,21.0
1923,92003,67,Female,No,One Year,Yes,5,69.35,13.0
1924,92618,25,Female,No,Two Year,Yes,65,25.3,21.0
1925,92505,48,Male,No,Month-to-Month,Yes,42,100.3,13.0
1926,93243,48,Female,No,Month-to-Month,Yes,3,74.75,4.0
1928,93004,57,Male,No,Two Year,No,66,20.55,21.0
1929,93673,42,Female,No,Two Year,No,25,19.8,21.0
1930,92124,45,Female,No,One Year,Yes,56,99.75,19.0
1931,92282,79,Male,No,One Year,Yes,52,105.1,9.0
1932,90024,47,Female,No,Two Year,No,23,25.1,21.0
1933,93262,56,Female,No,One Year,Yes,25,26.8,21.0
1938,96105,56,Female,No,One Year,Yes,49,20.05,21.0
1939,96040,46,Male,No,Month-to-Month,No,1,20.05,21.0
1940,95543,68,Male,Yes,Month-to-Month,Yes,5,70.25,17.0
1941,95822,36,Female,No,Two Year,No,50,19.4,21.0
1942,92646,52,Male,Yes,Month-to-Month,Yes,13,45.55,17.0
1943,94542,64,Female,No,One Year,No,28,19.9,21.0
1944,90620,25,Female,No,One Year,No,49,19.45,21.0
1945,92270,51,Female,No,Month-to-Month,Yes,18,95.05,12.0
1947,93313,43,Female,No,Month-to-Month,Yes,37,95.25,11.0
1948,94530,80,Male,No,One Year,No,7,29.8,13.0
1949,93262,64,Male,No,Month-to-Month,No,45,81.4,19.0
1950,91108,53,Male,No,Month-to-Month,Yes,19,45.0,5.0
1951,94930,42,Male,No,One Year,Yes,29,19.8,21.0
1952,95327,37,Male,No,One Year,No,61,103.9,19.0
1954,90071,22,Female,No,Month-to-Month,Yes,38,103.65,27.0
1955,95646,52,Female,No,Month-to-Month,No,2,19.9,21.0
1957,96035,60,Female,No,One Year,No,15,45.9,25.0
1959,95975,40,Male,Yes,Month-to-Month,No,52,84.1,14.0
1960,92270,60,Female,Yes,Month-to-Month,No,2,20.65,21.0
1961,92122,77,Male,Yes,Month-to-Month,Yes,24,93.15,12.0
1965,95488,78,Male,Yes,Month-to-Month,Yes,41,99.8,15.0
1966,92028,49,Female,Yes,Month-to-Month,Yes,14,87.25,19.0
1967,95681,57,Female,No,Two Year,Yes,64,68.3,25.0
1968,90503,38,Male,No,Two Year,No,72,19.4,21.0
1970,91916,79,Male,No,One Year,Yes,35,73.0,18.0
1973,95407,74,Male,Yes,Month-to-Month,Yes,43,89.55,6.0
1974,94592,69,Female,No,One Year,Yes,53,95.85,12.0
1975,95674,50,Female,Yes,One Year,Yes,17,55.85,21.0
1976,93251,67,Female,Yes,Month-to-Month,Yes,20,85.8,15.0
1977,94021,33,Male,No,One Year,No,6,19.15,21.0
1978,94578,47,Male,No,Month-to-Month,Yes,1,24.7,21.0
1979,92130,52,Female,No,Two Year,No,61,89.65,8.0
1980,92807,74,Female,Yes,Month-to-Month,Yes,4,89.2,24.0
1981,92629,57,Female,No,Month-to-Month,No,1,19.55,21.0
1984,95354,49,Male,Yes,Month-to-Month,Yes,1,79.25,5.0
1985,92122,54,Female,Yes,Month-to-Month,No,2,80.6,20.0
1986,95685,41,Female,Yes,Month-to-Month,Yes,45,89.3,24.0
1987,92592,64,Female,Yes,Month-to-Month,Yes,40,84.85,19.0
1988,96113,38,Female,No,Month-to-Month,Yes,34,105.1,2.0
1989,90703,49,Female,No,Month-to-Month,Yes,13,85.95,22.0
1990,93664,64,Female,Yes,Month-to-Month,Yes,1,20.25,21.0
1992,95833,63,Male,No,One Year,No,35,19.9,21.0
1993,92590,75,Male,No,Two Year,Yes,72,102.65,5.0
1994,91405,69,Male,No,Two Year,Yes,2,74.2,14.0
1995,94070,27,Female,No,Month-to-Month,No,12,19.45,21.0
1996,95988,64,Male,No,Two Year,Yes,69,75.75,18.0
1997,90222,68,Male,No,Two Year,Yes,57,104.9,15.0
1998,93442,61,Female,Yes,Month-to-Month,Yes,35,70.3,4.0
2000,96011,50,Female,Yes,One Year,Yes,63,107.5,21.0
2002,93551,47,Female,No,Two Year,Yes,47,21.3,21.0
2003,95519,31,Male,Yes,One Year,Yes,72,117.8,8.0
2005,92675,20,Female,No,Two Year,No,18,19.35,21.0
2007,93434,46,Male,No,One Year,No,40,80.8,24.0
2008,92283,31,Male,No,Month-to-Month,Yes,2,69.8,14.0
2010,92066,36,Male,No,One Year,Yes,68,101.05,18.0
2011,92083,73,Female,No,Two Year,Yes,70,19.55,21.0
2012,92545,48,Male,No,Month-to-Month,No,1,44.55,18.0
2014,94038,61,Female,No,Month-to-Month,Yes,2,70.4,14.0
2015,91010,21,Female,No,One Year,No,11,20.6,21.0
2016,92835,40,Female,No,Two Year,Yes,56,24.95,21.0
2017,94566,41,Female,No,Month-to-Month,Yes,36,34.85,2.0
2018,95978,42,Male,No,One Year,Yes,37,90.6,6.0
2019,90405,50,Female,Yes,Month-to-Month,No,39,55.9,13.0
2022,95936,36,Female,Yes,Month-to-Month,Yes,4,76.65,17.0
2023,93243,46,Male,No,Month-to-Month,Yes,1,69.95,14.0
2024,91202,76,Female,No,Two Year,Yes,38,83.45,15.0
2025,91750,38,Male,No,One Year,Yes,10,19.7,21.0
2027,91911,37,Female,No,One Year,Yes,30,68.95,18.0
2028,95370,64,Male,No,Two Year,No,72,88.7,19.0
2029,92305,26,Female,No,One Year,Yes,8,20.2,21.0
2030,92065,64,Female,No,Two Year,Yes,53,104.05,17.0
2031,96085,44,Male,No,One Year,Yes,46,94.65,3.0
2032,90630,31,Female,No,Month-to-Month,No,6,20.7,21.0
2037,94589,59,Male,No,Month-to-Month,Yes,40,110.1,22.0
2038,92562,71,Female,No,One Year,Yes,59,94.05,13.0
2039,95451,41,Female,No,One Year,No,50,103.05,27.0
2041,95303,56,Female,No,Two Year,No,46,79.2,2.0
2043,92028,59,Female,No,Month-to-Month,Yes,35,33.45,12.0
2044,90621,47,Male,Yes,Month-to-Month,No,1,50.6,13.0
2046,95828,30,Male,Yes,Month-to-Month,Yes,5,85.3,27.0
2047,90058,64,Female,No,Two Year,Yes,69,64.15,17.0
2048,92308,41,Male,Yes,Month-to-Month,No,17,80.85,3.0
2049,90290,48,Female,Yes,Month-to-Month,Yes,1,20.2,21.0
2050,95666,71,Male,Yes,Month-to-Month,Yes,24,78.85,22.0
2051,94591,69,Female,No,One Year,No,62,84.45,3.0
2052,92028,49,Male,Yes,Month-to-Month,Yes,12,45.4,14.0
2053,95816,45,Male,No,Month-to-Month,No,23,20.85,21.0
2054,91105,54,Female,No,Month-to-Month,Yes,45,50.9,18.0
2055,95033,64,Female,No,Month-to-Month,Yes,9,85.3,8.0
2056,92347,60,Male,Yes,Month-to-Month,Yes,4,80.35,13.0
2057,95552,60,Male,No,Month-to-Month,Yes,24,85.95,24.0
2058,94041,42,Female,No,Two Year,Yes,71,25.95,21.0
2059,95828,56,Male,Yes,Month-to-Month,Yes,2,45.15,21.0
2060,90003,29,Male,No,One Year,No,1,18.8,21.0
2061,94117,41,Female,Yes,Month-to-Month,Yes,10,100.6,3.0
2062,94022,53,Female,No,Month-to-Month,No,2,51.4,21.0
2065,94030,34,Female,No,Month-to-Month,Yes,13,78.75,23.0
2066,93260,47,Female,No,One Year,No,57,94.7,7.0
2067,95746,74,Female,No,Month-to-Month,Yes,36,91.95,16.0
2068,92236,61,Female,No,Two Year,Yes,66,90.05,24.0
2069,96109,33,Female,No,Month-to-Month,Yes,22,59.05,24.0
2070,94703,57,Female,Yes,Month-to-Month,No,17,94.4,12.0
2071,92126,75,Female,Yes,Month-to-Month,Yes,1,74.45,16.0
2072,91030,64,Female,Yes,Month-to-Month,Yes,11,94.0,18.0
2076,91306,38,Female,No,Two Year,No,69,19.75,21.0
2077,92311,38,Male,No,Two Year,Yes,72,104.9,25.0
2078,95554,46,Female,No,Month-to-Month,Yes,23,93.5,23.0
2080,93274,44,Female,No,Two Year,No,70,84.7,10.0
2081,95645,68,Female,No,Two Year,Yes,70,90.85,25.0
2082,96126,58,Female,No,One Year,Yes,3,69.95,17.0
2084,91764,58,Female,Yes,Month-to-Month,Yes,6,89.5,25.0
2085,94110,55,Male,No,Two Year,No,72,92.0,20.0
2086,92831,41,Female,No,Two Year,No,67,86.15,23.0
2087,90802,74,Female,Yes,One Year,Yes,40,99.2,22.0
2088,95918,20,Female,No,Two Year,Yes,19,24.9,21.0
2091,95222,76,Male,Yes,Month-to-Month,Yes,32,104.9,22.0
2092,91506,69,Male,No,Month-to-Month,Yes,29,103.95,19.0
2095,91354,73,Male,Yes,Month-to-Month,Yes,55,98.8,21.0
2096,93667,54,Female,No,Month-to-Month,Yes,55,103.65,25.0
2097,95633,34,Female,Yes,Month-to-Month,Yes,2,94.2,13.0
2098,92028,28,Female,No,Month-to-Month,Yes,2,20.7,21.0
2099,93624,58,Male,Yes,One Year,Yes,62,96.75,9.0
2100,95631,41,Male,No,Month-to-Month,Yes,19,20.0,21.0
2101,95974,61,Female,No,Month-to-Month,No,7,20.65,21.0
2103,90275,47,Male,No,Month-to-Month,No,29,33.75,22.0
2104,95233,44,Male,Yes,Month-to-Month,No,12,81.7,3.0
2108,92507,32,Female,No,One Year,No,37,75.1,23.0
2109,94583,44,Female,No,Two Year,No,64,25.0,21.0
2111,91107,64,Male,No,Month-to-Month,Yes,8,74.85,7.0
2112,95949,57,Male,Yes,Month-to-Month,No,9,44.95,26.0
2113,93240,23,Male,No,Month-to-Month,No,1,20.05,21.0
2114,91746,31,Female,Yes,One Year,No,48,34.7,22.0
2115,91917,39,Female,No,Month-to-Month,Yes,38,66.15,13.0
2116,95312,36,Male,No,Month-to-Month,No,3,20.2,21.0
2117,95605,35,Female,No,Month-to-Month,No,32,19.9,21.0
2118,95549,43,Male,No,Month-to-Month,No,3,60.65,11.0
2119,93532,34,Female,Yes,Month-to-Month,Yes,10,94.85,21.0
2125,95070,75,Female,No,Month-to-Month,Yes,53,73.8,15.0
2126,90605,35,Female,No,One Year,No,63,58.55,9.0
2127,92886,64,Male,No,Two Year,No,35,55.25,21.0
2128,95742,36,Male,Yes,One Year,Yes,41,102.6,10.0
2129,95417,37,Male,No,Month-to-Month,Yes,13,25.15,16.0
2131,92276,27,Male,No,Month-to-Month,No,14,19.9,21.0
2133,95135,37,Female,Yes,Month-to-Month,Yes,1,55.4,4.0
2135,92251,49,Female,No,One Year,No,68,55.9,14.0
2136,96084,77,Male,Yes,Month-to-Month,Yes,1,88.8,20.0
2137,95324,50,Female,No,One Year,No,1,25.85,18.0
2138,95827,38,Female,No,Two Year,Yes,60,99.65,21.0
2139,95987,78,Male,Yes,Month-to-Month,No,7,73.75,7.0
2140,96039,48,Female,No,Two Year,No,23,20.4,21.0
2141,95636,40,Male,No,Two Year,No,72,82.3,15.0
2142,90604,38,Male,No,Month-to-Month,No,3,89.85,12.0
2144,90807,29,Female,No,Month-to-Month,No,6,19.7,21.0
2145,92091,45,Female,No,Two Year,Yes,13,19.75,21.0
2146,93669,26,Male,No,One Year,No,47,19.9,21.0
2147,96040,62,Male,No,Month-to-Month,No,3,29.8,4.0
2148,95203,73,Male,No,One Year,No,14,19.65,21.0
2149,92284,62,Female,No,Two Year,Yes,23,77.15,12.0
2150,95621,47,Female,No,Two Year,No,72,92.0,16.0
2151,91901,55,Female,Yes,Month-to-Month,No,1,43.95,9.0
2152,95043,33,Female,No,Month-to-Month,Yes,66,103.1,20.0
2153,93251,37,Male,No,Two Year,No,53,25.55,21.0
2155,91107,44,Male,Yes,Two Year,Yes,61,111.6,11.0
2156,92130,54,Male,No,Month-to-Month,No,2,60.95,12.0
2157,93654,48,Female,No,Month-to-Month,No,1,20.3,21.0
2158,90710,64,Male,Yes,Month-to-Month,Yes,1,35.45,22.0
2159,92130,34,Male,Yes,One Year,No,67,87.4,10.0
2160,95955,63,Male,No,Month-to-Month,No,18,74.15,20.0
2161,93306,42,Male,No,Month-to-Month,Yes,18,94.75,16.0
2162,90717,32,Female,Yes,Month-to-Month,No,12,78.1,18.0
2163,92028,73,Female,Yes,Month-to-Month,Yes,27,104.3,27.0
2164,90291,60,Female,No,One Year,Yes,61,100.7,19.0
2166,95316,23,Female,No,Two Year,No,41,20.0,21.0
2167,90012,51,Male,No,Month-to-Month,No,19,50.1,13.0
2168,94972,42,Female,Yes,Month-to-Month,Yes,2,49.05,13.0
2169,95139,73,Male,Yes,Month-to-Month,Yes,2,86.85,11.0
2170,93254,30,Female,No,Month-to-Month,Yes,4,19.95,21.0
2171,94525,34,Male,No,Month-to-Month,No,25,54.3,22.0
2173,92337,32,Female,Yes,Month-to-Month,Yes,8,85.2,16.0
2174,95470,75,Male,No,Two Year,No,72,84.45,9.0
2176,93526,24,Male,No,Two Year,No,10,20.25,21.0
2177,93003,43,Female,No,One Year,Yes,59,81.25,12.0
2178,96124,41,Female,No,Two Year,No,68,25.8,21.0
2179,95318,19,Male,No,Two Year,Yes,54,24.05,21.0
2180,95765,24,Male,No,One Year,No,22,20.3,21.0
2183,92679,50,Female,No,Two Year,No,19,25.6,21.0
2184,94547,56,Female,No,Month-to-Month,No,2,80.55,11.0
2185,95666,56,Female,No,One Year,No,14,19.55,21.0
2186,91202,70,Male,Yes,Month-to-Month,Yes,57,44.85,3.0
2188,95205,49,Female,No,Two Year,No,63,98.0,21.0
2189,92284,58,Female,No,Month-to-Month,Yes,4,64.4,19.0
2190,93550,32,Male,No,One Year,No,17,64.8,11.0
2191,93630,61,Male,Yes,Month-to-Month,Yes,6,85.35,27.0
2193,92126,52,Female,Yes,Month-to-Month,No,13,88.35,10.0
2195,90606,40,Male,No,Month-to-Month,Yes,71,93.25,7.0
2196,94066,23,Male,No,One Year,No,10,19.6,21.0
2197,90723,71,Female,No,Two Year,Yes,72,88.05,6.0
2198,95837,23,Female,No,Two Year,Yes,69,24.95,21.0
2199,92028,33,Male,Yes,Month-to-Month,No,1,20.1,21.0
2200,95351,57,Male,No,Month-to-Month,No,47,90.05,20.0
2201,95694,28,Male,No,Two Year,Yes,60,20.5,21.0
2202,95136,58,Male,No,Month-to-Month,No,2,19.25,21.0
2204,93552,37,Male,No,Month-to-Month,Yes,53,46.3,24.0
2209,95635,39,Male,Yes,One Year,Yes,5,70.0,22.0
2211,95368,47,Male,Yes,Month-to-Month,Yes,1,45.85,6.0
2212,94596,57,Female,No,Two Year,No,61,86.45,24.0
2213,91962,71,Male,No,One Year,No,38,101.15,27.0
2215,90222,37,Female,No,Two Year,No,50,20.15,21.0
2216,92663,51,Female,No,Month-to-Month,Yes,9,55.3,22.0
2217,91304,22,Female,No,Two Year,No,71,19.7,21.0
2218,93628,61,Female,No,Two Year,Yes,46,64.2,6.0
2220,92281,43,Female,Yes,Month-to-Month,No,1,71.35,13.0
2221,95601,34,Female,No,One Year,Yes,23,19.65,21.0
2222,95227,45,Female,Yes,Month-to-Month,Yes,1,100.25,17.0
2224,95450,40,Male,No,Month-to-Month,No,16,19.75,21.0
2226,92308,44,Male,No,Two Year,Yes,66,105.65,11.0
2228,92040,49,Male,No,Month-to-Month,No,14,19.95,21.0
2229,95307,42,Female,No,Two Year,No,46,20.25,21.0
2230,96039,42,Male,Yes,One Year,Yes,49,100.6,3.0
2231,91784,57,Female,No,Month-to-Month,Yes,3,80.7,17.0
2232,93660,63,Male,No,Month-to-Month,Yes,34,84.05,26.0
2234,92113,59,Female,Yes,Month-to-Month,Yes,50,84.4,17.0
2235,95939,19,Male,No,Month-to-Month,Yes,3,20.25,21.0
