,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
1441,34,Male,No,Month-to-Month,Yes,2,162.5,42.0
1442,63,Female,No,Two Year,Yes,20,172.5,175.0
1443,50,Male,Yes,Month-to-Month,No,8,182.5,98.0
1444,46,Female,No,One year,No,7,127.5,74.0
1445,46,Female,No,Two Year,Yes,5,187.5,84.0
1446,24,Female,No,Month-to-Month,Yes,10,160.0,92.0
1447,32,Female,Yes,Month-to-Month,Yes,5,182.5,82.0
1448,57,Male,No,One year,Yes,13,112.5,98.0
1449,50,Female,Yes,Month-to-Month,Yes,3,137.4,46.0
1450,49,Female,No,Two Year,Yes,2,147.5,25.0
1451,69,Female,No,One year,Yes,9,125.0,68.0
1452,77,Male,No,Month-to-Month,Yes,7,120.0,79.0
1453,30,Female,No,Month-to-Month,No,10,147.5,115.0
1454,26,Female,No,One year,Yes,10,139.9,142.0
1455,30,Male,Yes,One year,No,2,242.6,85.0
1456,78,Female,Yes,Month-to-Month,No,14,127.5,141.0
1457,73,Female,Yes,Month-to-Month,Yes,19,162.5,152.0
1458,39,Female,No,One year,Yes,6,135.0,53.0
1459,39,Male,No,Month-to-Month,Yes,3,127.5,39.0
1460,72,Female,No,Month-to-Month,Yes,9,142.5,123.0
1461,37,Male,No,Month-to-Month,Yes,4,160.0,111.0
1462,34,Female,No,Two Year,No,9,152.5,99.0
1463,27,Male,No,One year,Yes,4,129.9,95.0
1464,24,Female,Yes,Month-to-Month,Yes,6,207.6,88.0
1465,43,Female,No,Month-to-Month,No,2,185.0,55.0
1467,75,Female,Yes,Month-to-Month,No,3,222.6,65.0
1468,33,Male,No,Two Year,Yes,12,142.5,144.0
1469,57,Male,Yes,Month-to-Month,Yes,3,152.5,45.0
1470,78,Female,Yes,Month-to-Month,Yes,1,227.5,56.0
1471,74,Female,No,Month-to-Month,Yes,18,155.0,196.0
1472,51,Female,No,Month-to-Month,Yes,13,162.5,127.0
1473,32,Female,Yes,Month-to-Month,Yes,10,192.5,105.0
1474,84,Male,Yes,One year,Yes,2,222.6,98.0
1475,60,Female,Yes,Month-to-Month,No,10,222.6,130.0
1476,20,Female,No,One year,Yes,16,190.2,171.0
1477,38,Male,No,One year,Yes,1,127.5,34.0
1478,71,Male,Yes,Month-to-Month,Yes,12,150.0,124.0
1479,56,Female,Yes,Month-to-Month,No,4,200.1,109.0
1480,35,Female,Yes,Two Year,Yes,4,200.1,112.0
1481,33,Female,Yes,Month-to-Month,Yes,7,217.5,94.0
1482,88,Female,Yes,Month-to-Month,No,20,130.0,185.0
1483,75,Female,No,One year,Yes,8,92.5,61.0
1484,34,Female,No,Two Year,Yes,3,165.0,92.0
1485,89,Male,No,One year,Yes,14,182.5,114.0
1486,76,Female,No,Two Year,Yes,8,230.1,92.0
1487,69,Female,No,One year,Yes,11,125.0,82.0
1488,88,Female,Yes,Month-to-Month,No,7,182.4,104.0
1489,64,Female,No,Month-to-Month,Yes,11,149.9,136.0
1490,65,Male,Yes,Month-to-Month,No,4,137.5,59.0
1491,51,Male,Yes,Month-to-Month,Yes,3,162.5,100.0
1492,69,Male,No,Month-to-Month,Yes,12,140.0,139.0
1493,81,Male,No,One year,No,3,105.0,40.0
1494,79,Female,No,Two Year,Yes,8,167.5,119.0
1495,64,Female,No,One year,Yes,15,145.0,112.0
1496,58,Female,No,Month-to-Month,Yes,30,150.0,223.0
1497,77,Female,Yes,Two Year,No,5,187.5,104.0
1498,19,Female,Yes,Month-to-Month,No,5,232.6,93.0
1499,60,Male,Yes,Month-to-Month,Yes,13,215.0,129.0
1500,30,Male,No,Two Year,Yes,3,205.0,70.0
1501,71,Female,No,Month-to-Month,Yes,18,170.0,141.0
1502,31,Male,Yes,One year,Yes,12,245.1,144.0
1503,74,Female,No,Two Year,No,6,115.0,60.0
1504,64,Male,No,Two Year,No,16,160.0,138.0
1505,47,Male,No,Month-to-Month,Yes,18,112.5,133.0
1506,76,Male,No,One year,Yes,23,80.0,162.0
1507,74,Female,No,Two Year,Yes,7,92.5,76.0
1508,54,Male,No,Two Year,Yes,12,145.0,96.0
1509,22,Male,No,Two Year,Yes,5,152.5,110.0
1510,31,Female,No,Month-to-Month,No,19,175.0,178.0
1511,80,Male,No,Month-to-Month,Yes,3,105.0,37.0
1512,67,Male,No,Month-to-Month,Yes,17,150.0,169.0
1513,18,Female,Yes,Month-to-Month,No,7,240.1,114.0
1514,85,Female,Yes,Month-to-Month,No,10,182.4,79.0
1515,71,Male,Yes,Two Year,Yes,6,232.6,116.0
1516,70,Female,Yes,Month-to-Month,No,12,232.7,127.0
1517,29,Male,No,One year,No,2,132.5,89.0
1518,58,Female,No,Month-to-Month,No,7,230.0,85.0
1519,19,Female,No,Month-to-Month,Yes,16,147.5,130.0
1520,54,Male,Yes,Two Year,No,7,117.4,105.0
1521,68,Male,No,One year,Yes,1,115.0,21.0
1522,40,Female,Yes,One year,No,3,162.5,95.0
1523,78,Female,Yes,Month-to-Month,Yes,4,140.0,54.0
1524,67,Female,Yes,Month-to-Month,Yes,2,192.5,42.0
1525,18,Female,No,One year,No,2,112.5,23.0
1526,58,Female,No,Month-to-Month,No,13,149.9,143.0
1527,33,Female,No,One year,No,9,172.5,103.0
1528,57,Female,Yes,Month-to-Month,Yes,8,192.4,89.0
1529,61,Male,No,One year,No,17,240.1,161.0
1530,79,Female,No,Two Year,No,16,205.0,128.0
1531,57,Female,Yes,Two Year,Yes,12,215.0,113.0
1532,72,Female,Yes,One year,No,11,200.1,148.0
1533,58,Male,Yes,Month-to-Month,Yes,15,222.7,162.0
1534,44,Female,No,Two Year,No,11,175.0,152.0
1535,45,Female,Yes,Month-to-Month,No,4,192.5,58.0
1536,58,Male,Yes,Month-to-Month,No,4,210.1,108.0
1537,22,Male,No,Two Year,Yes,2,120.0,82.0
1538,86,Male,No,One year,No,8,197.5,97.0
1539,45,Female,No,Two Year,Yes,5,112.5,39.0
1540,70,Female,No,Two Year,No,4,185.0,62.0
1541,61,Female,No,Month-to-Month,No,2,227.5,47.0
1542,71,Male,No,Two Year,No,12,160.0,110.0
1543,38,Female,Yes,Month-to-Month,No,2,137.5,60.0
1544,35,Male,Yes,One year,Yes,3,230.1,75.0
1545,74,Female,Yes,Month-to-Month,No,2,130.0,35.0
1546,24,Male,Yes,Month-to-Month,No,17,175.0,161.0
1547,72,Female,No,Two Year,No,2,195.0,48.0
1548,30,Male,Yes,Month-to-Month,No,13,207.6,134.0
1549,40,Female,Yes,Month-to-Month,Yes,11,180.0,89.0
1550,43,Female,No,One year,Yes,20,215.0,197.0
1551,56,Male,No,Two Year,Yes,6,147.5,98.0
1552,28,Male,No,One year,Yes,3,140.0,52.0
1553,44,Female,Yes,Month-to-Month,No,1,192.4,52.0
1554,46,Female,No,Two Year,No,13,137.5,128.0
1555,47,Female,Yes,Month-to-Month,Yes,8,240.1,107.0
1556,75,Female,No,Two Year,Yes,11,172.5,115.0
1557,19,Male,Yes,Month-to-Month,No,10,162.5,113.0
1558,28,Male,No,Month-to-Month,No,9,140.0,93.0
1559,49,Male,No,Two Year,Yes,8,112.5,72.0
1560,63,Female,No,Two Year,No,9,157.5,66.0
1561,44,Male,Yes,Month-to-Month,No,9,257.7,176.0
1562,70,Male,Yes,Month-to-Month,Yes,2,142.5,60.0
1563,48,Male,No,Month-to-Month,No,23,152.5,230.0
1564,36,Male,No,Month-to-Month,Yes,3,162.5,95.0
1565,70,Female,No,Two Year,No,8,149.9,110.0
1566,75,Male,No,Month-to-Month,No,11,127.5,127.0
1567,56,Male,Yes,Month-to-Month,No,4,187.7,77.0
1568,34,Female,Yes,Month-to-Month,No,9,160.0,105.0
1569,45,Male,Yes,Month-to-Month,Yes,9,157.5,91.0
1570,30,Female,No,Month-to-Month,Yes,8,137.4,83.0
1571,44,Female,No,Month-to-Month,Yes,9,172.4,98.0
1572,34,Male,No,Two Year,Yes,3,182.5,60.0
1573,20,Female,No,Two Year,No,6,112.5,52.0
1574,28,Female,No,Two Year,Yes,3,115.0,32.0
1575,35,Female,No,Two Year,Yes,17,162.5,202.0
1576,80,Female,Yes,Month-to-Month,Yes,2,200.1,65.0
1577,53,Male,Yes,Two Year,Yes,4,252.6,104.0
1578,83,Male,Yes,One year,No,12,242.6,126.0
1579,43,Female,Yes,One year,Yes,2,242.7,73.0
1580,25,Male,No,Month-to-Month,Yes,11,105.0,106.0
1581,69,Female,Yes,Month-to-Month,Yes,18,175.1,164.0
1582,32,Female,Yes,Month-to-Month,No,13,162.5,169.0
1583,75,Female,Yes,Month-to-Month,No,19,175.0,194.0
1584,46,Male,No,Month-to-Month,Yes,6,169.9,81.0
1585,23,Female,Yes,Month-to-Month,Yes,7,217.5,103.0
1586,67,Female,No,Month-to-Month,Yes,3,125.0,29.0
1587,75,Male,Yes,Month-to-Month,No,5,185.0,68.0
1589,60,Male,Yes,One year,No,3,242.7,87.0
1590,63,Female,No,One year,No,8,112.5,56.0
1591,32,Male,No,Month-to-Month,No,7,127.4,109.0
1592,87,Female,Yes,Month-to-Month,Yes,11,195.0,100.0
1593,67,Female,No,Two Year,Yes,17,152.5,136.0
1594,66,Female,Yes,Month-to-Month,Yes,2,182.5,43.0
1595,75,Female,No,One year,Yes,9,172.5,91.0
1597,64,Male,No,Two Year,No,7,195.0,85.0
1598,87,Female,No,Two Year,Yes,6,117.5,80.0
1599,55,Male,No,Month-to-Month,Yes,3,145.0,36.0
1600,49,Female,No,Month-to-Month,No,15,137.5,145.0
1601,51,Female,Yes,Month-to-Month,Yes,8,182.5,87.0
1602,45,Male,Yes,Month-to-Month,Yes,4,197.5,121.0
1603,75,Female,No,Month-to-Month,No,3,157.5,26.0
1604,83,Male,Yes,Two Year,Yes,4,162.5,53.0
1605,43,Female,No,Month-to-Month,Yes,14,180.0,120.0
1606,82,Female,Yes,Two Year,Yes,4,222.6,106.0
1607,48,Female,No,Two Year,Yes,6,150.0,62.0
1608,72,Male,No,One year,Yes,11,140.0,137.0
1609,79,Female,Yes,One year,Yes,11,262.6,125.0
1610,29,Female,No,One year,No,2,172.5,75.0
1611,23,Male,No,Month-to-Month,No,4,105.0,58.0
1612,49,Male,Yes,Month-to-Month,No,5,245.1,134.0
1613,45,Male,Yes,Month-to-Month,Yes,21,212.6,239.0
1614,38,Female,No,One year,Yes,9,185.0,105.0
1615,25,Male,No,One year,Yes,7,137.4,79.0
1616,42,Male,No,One year,Yes,21,202.4,180.0
1617,66,Female,Yes,Two Year,Yes,5,255.1,120.0
1618,51,Male,No,Two Year,Yes,12,152.5,149.0
1619,75,Male,Yes,Month-to-Month,Yes,2,242.6,65.0
1620,35,Male,Yes,Month-to-Month,Yes,4,220.1,85.0
1621,47,Male,No,Two Year,Yes,11,160.0,111.0
1622,39,Female,No,One year,Yes,18,150.0,190.0
1623,71,Female,No,Two Year,Yes,3,230.1,87.0
1624,58,Male,Yes,Month-to-Month,Yes,12,162.5,115.0
1625,71,Male,No,Month-to-Month,No,5,95.0,52.0
1626,24,Male,No,Two Year,No,12,197.5,171.0
1627,43,Female,No,Month-to-Month,Yes,6,82.5,53.0
1629,29,Male,No,Month-to-Month,No,5,127.5,64.0
1630,77,Male,No,Two Year,No,12,167.5,152.0
1631,52,Male,Yes,Month-to-Month,No,8,185.0,94.0
1632,82,Male,Yes,Month-to-Month,Yes,2,172.5,39.0
1633,84,Female,Yes,Two Year,Yes,2,202.6,118.0
1634,66,Male,No,Two Year,Yes,12,149.9,96.0
1635,42,Female,Yes,Month-to-Month,Yes,26,200.2,224.0
1636,67,Male,No,Two Year,No,17,185.0,185.0
1637,28,Male,Yes,Month-to-Month,No,7,127.5,105.0
1638,40,Female,No,Month-to-Month,No,20,137.4,160.0
1639,75,Female,No,Two Year,No,12,232.6,164.0
1640,72,Female,Yes,One year,No,3,202.6,107.0
1641,73,Male,No,Two Year,Yes,15,157.5,108.0
1642,59,Female,No,Two Year,Yes,5,182.5,65.0
1643,73,Female,Yes,One year,Yes,12,215.2,171.0
1644,41,Female,Yes,Two Year,Yes,10,275.1,135.0
1645,88,Male,No,One year,Yes,4,142.5,70.0
1646,35,Male,No,One year,Yes,19,205.0,177.0
1647,18,Male,No,Two Year,No,10,215.0,111.0
1648,63,Female,No,One year,Yes,4,205.0,65.0
1649,82,Male,Yes,Month-to-Month,Yes,5,220.1,128.0
1650,66,Female,Yes,Month-to-Month,No,7,170.0,65.0
1651,86,Female,No,Two Year,No,11,172.5,95.0
1652,20,Male,Yes,Month-to-Month,Yes,5,192.4,78.0
1653,76,Female,Yes,Two Year,Yes,2,210.1,56.0
1654,29,Female,Yes,Month-to-Month,No,15,200.1,189.0
1655,23,Female,No,Two Year,No,1,125.0,26.0
1656,55,Male,Yes,Two Year,No,2,185.0,91.0
1657,57,Female,No,Month-to-Month,Yes,7,112.5,53.0
1658,30,Female,No,Two Year,Yes,18,162.5,154.0
1659,56,Female,No,Two Year,No,11,115.0,118.0
1660,83,Female,No,Month-to-Month,No,12,152.5,109.0
1661,39,Male,Yes,One year,Yes,12,230.1,136.0
1662,52,Female,Yes,Month-to-Month,Yes,3,127.5,76.0
1663,35,Female,No,Month-to-Month,No,22,195.0,189.0
1664,54,Female,No,One year,No,7,242.6,99.0
1665,49,Male,Yes,Month-to-Month,Yes,15,242.6,158.0
1666,87,Male,Yes,Month-to-Month,No,14,127.4,138.0
1667,20,Male,No,Two Year,Yes,9,147.5,95.0
1668,88,Male,No,One year,Yes,5,150.0,71.0
1669,38,Male,No,Month-to-Month,Yes,4,130.0,65.0
1670,43,Female,No,Two Year,No,12,175.0,133.0
1672,44,Female,Yes,Month-to-Month,Yes,3,152.5,54.0
1673,70,Male,Yes,Month-to-Month,No,7,195.0,81.0
1674,49,Male,No,Month-to-Month,Yes,9,147.4,87.0
1675,72,Female,Yes,One year,Yes,8,275.1,115.0
1676,41,Male,Yes,Month-to-Month,Yes,1,162.5,44.0
1677,54,Female,No,Two Year,No,7,162.5,107.0
1678,49,Female,No,One year,No,7,180.0,59.0
1679,77,Female,No,Month-to-Month,Yes,16,182.4,129.0
1680,35,Male,Yes,Month-to-Month,Yes,13,245.1,158.0
1681,34,Female,Yes,Two Year,Yes,12,232.7,166.0
1682,43,Female,Yes,Month-to-Month,Yes,11,245.1,173.0
1683,59,Male,Yes,Month-to-Month,No,15,277.7,176.0
1684,58,Male,No,Two Year,Yes,7,142.5,113.0
1685,75,Male,Yes,Month-to-Month,No,6,152.5,109.0
1686,63,Female,Yes,Month-to-Month,Yes,7,267.7,110.0
1687,57,Female,Yes,One year,Yes,7,227.5,83.0
1688,63,Male,Yes,Month-to-Month,No,1,147.4,26.0
1689,42,Female,Yes,Month-to-Month,Yes,7,149.9,105.0
1690,37,Female,Yes,Month-to-Month,Yes,8,220.1,118.0
1691,60,Male,No,Month-to-Month,Yes,21,140.0,204.0
1692,38,Male,Yes,Month-to-Month,No,9,140.0,105.0
1694,85,Female,No,Two Year,Yes,9,145.0,76.0
1695,18,Male,No,Month-to-Month,No,6,150.0,78.0
1696,37,Female,Yes,Month-to-Month,Yes,3,195.0,51.0
1697,37,Male,Yes,Month-to-Month,No,11,165.0,157.0
1698,74,Female,No,One year,Yes,12,152.5,137.0
1699,76,Male,No,Month-to-Month,Yes,15,127.5,136.0
1700,62,Female,No,One year,Yes,14,172.5,157.0
1701,42,Male,Yes,Month-to-Month,Yes,5,195.0,75.0
1702,81,Female,No,One year,Yes,3,125.0,25.0
1703,80,Male,Yes,Two Year,Yes,7,242.6,140.0
1704,50,Male,Yes,Month-to-Month,Yes,10,200.0,151.0
1705,21,Female,Yes,Month-to-Month,No,16,185.0,156.0
1706,41,Male,No,One year,Yes,2,147.4,37.0
1707,71,Male,Yes,Month-to-Month,No,2,255.1,72.0
1708,45,Female,Yes,Month-to-Month,Yes,17,159.9,177.0
1709,46,Male,Yes,Month-to-Month,No,20,210.1,228.0
1710,58,Male,No,Two Year,Yes,8,165.0,118.0
1711,87,Male,No,Month-to-Month,Yes,4,127.5,34.0
1712,18,Female,Yes,Month-to-Month,Yes,11,152.5,112.0
1713,50,Male,Yes,Month-to-Month,Yes,8,169.9,83.0
1714,31,Male,Yes,Month-to-Month,No,2,140.0,58.0
1715,27,Female,No,Two Year,Yes,9,182.5,106.0
1716,44,Female,Yes,Two Year,Yes,10,202.4,100.0
1717,45,Male,Yes,Two Year,No,6,232.6,134.0
1718,33,Male,No,One year,No,3,135.0,46.0
1719,36,Male,No,Month-to-Month,No,11,155.0,152.0
1720,47,Female,No,Month-to-Month,No,8,182.5,92.0
1721,56,Male,No,Month-to-Month,Yes,2,205.0,51.0
1722,81,Male,Yes,Month-to-Month,Yes,3,220.2,70.0
1723,26,Female,Yes,One year,Yes,3,222.7,85.0
1724,33,Male,No,One year,Yes,23,155.0,246.0
1725,47,Male,No,One year,Yes,6,127.4,98.0
1726,61,Male,Yes,Month-to-Month,Yes,7,142.5,117.0
1727,80,Female,No,One year,No,14,150.0,111.0
1728,75,Male,No,Two Year,Yes,24,195.0,202.0
1729,78,Female,Yes,Month-to-Month,Yes,6,155.0,95.0
1730,75,Female,Yes,Month-to-Month,No,9,150.0,82.0
1731,58,Male,Yes,Two Year,No,10,245.1,160.0
1732,46,Female,No,One year,No,20,182.5,160.0
1733,28,Male,No,Month-to-Month,No,2,145.0,40.0
1734,43,Female,Yes,Month-to-Month,Yes,8,220.2,110.0
1735,66,Female,No,One year,No,2,172.5,75.0
1736,84,Male,Yes,Month-to-Month,No,14,255.1,180.0
1737,69,Female,No,Two Year,Yes,4,92.5,60.0
1738,20,Male,Yes,Month-to-Month,No,15,107.5,144.0
1739,35,Male,Yes,One year,Yes,17,235.2,183.0
1740,88,Male,Yes,Month-to-Month,Yes,8,252.6,101.0
1741,71,Female,Yes,Month-to-Month,Yes,8,152.5,114.0
1742,86,Male,Yes,One year,Yes,8,162.5,122.0
1743,24,Female,No,Two Year,No,14,92.5,146.0
1744,76,Female,No,One year,No,8,160.0,74.0
1745,33,Male,No,One year,No,25,205.0,227.0
1746,79,Female,No,One year,Yes,13,190.2,134.0
1747,76,Female,Yes,Month-to-Month,Yes,6,175.0,72.0
1748,24,Male,Yes,Two Year,No,15,242.7,173.0
1749,77,Female,Yes,Month-to-Month,No,9,202.6,134.0
1750,62,Male,Yes,Month-to-Month,No,7,187.6,88.0
1751,21,Female,Yes,Month-to-Month,Yes,3,290.2,96.0
1752,39,Male,No,Two Year,Yes,14,165.0,178.0
1753,23,Male,No,Two Year,No,16,195.0,163.0
1754,87,Female,Yes,Month-to-Month,No,8,242.6,137.0
1755,27,Male,No,One year,No,7,125.0,60.0
1756,60,Female,Yes,One year,No,8,222.7,103.0
1757,80,Female,Yes,Month-to-Month,Yes,5,137.5,58.0
1758,56,Male,Yes,Two Year,Yes,2,232.6,64.0
1759,20,Male,Yes,Month-to-Month,No,4,155.0,107.0
1760,39,Male,Yes,Month-to-Month,Yes,11,195.0,158.0
1761,30,Male,No,One year,Yes,18,232.6,192.0
1762,47,Male,Yes,One year,Yes,1,257.7,85.0
1763,35,Female,No,Two Year,Yes,14,162.5,143.0
1765,76,Female,Yes,Month-to-Month,No,1,185.0,73.0
1766,70,Male,Yes,Month-to-Month,Yes,17,172.5,149.0
1767,44,Female,No,Month-to-Month,Yes,3,112.5,20.0
1768,73,Female,No,Month-to-Month,Yes,15,150.0,125.0
1769,72,Female,No,Month-to-Month,Yes,3,162.5,32.0
1770,42,Female,Yes,Month-to-Month,Yes,5,127.5,89.0
1771,58,Female,Yes,Month-to-Month,Yes,7,127.5,71.0
1772,68,Male,Yes,Month-to-Month,Yes,3,240.1,64.0
1773,19,Female,No,One year,Yes,6,162.5,102.0
1774,79,Male,No,One year,Yes,10,185.0,100.0
1775,54,Female,Yes,One year,Yes,15,242.6,165.0
1776,19,Male,Yes,One year,No,22,232.6,246.0
1777,46,Female,No,One year,Yes,5,150.0,59.0
1779,85,Male,Yes,Month-to-Month,No,24,202.6,242.0
1780,64,Female,Yes,One year,Yes,11,287.6,131.0
1781,21,Female,No,One year,Yes,9,145.0,81.0
1782,18,Female,No,Two Year,Yes,4,130.0,103.0
1783,83,Female,No,One year,Yes,3,117.5,40.0
1784,33,Male,Yes,Month-to-Month,Yes,6,152.5,105.0
1785,58,Male,Yes,Month-to-Month,Yes,18,230.1,176.0
1786,24,Female,Yes,One year,Yes,7,232.7,111.0
1787,88,Female,No,Two Year,Yes,6,125.0,32.0
1788,40,Female,Yes,Month-to-Month,Yes,2,247.7,112.0
1789,26,Female,Yes,Month-to-Month,Yes,3,160.0,42.0
1790,70,Female,Yes,Month-to-Month,Yes,7,207.6,87.0
1791,21,Female,Yes,Month-to-Month,Yes,3,247.7,122.0
1792,75,Male,Yes,Month-to-Month,Yes,2,207.5,81.0
1793,67,Male,Yes,Month-to-Month,Yes,2,230.1,58.0
1794,29,Male,No,Two Year,Yes,8,177.5,143.0
1795,26,Male,No,Two Year,No,22,155.0,234.0
1796,38,Female,Yes,Two Year,No,14,235.1,197.0
1797,20,Male,No,Two Year,No,16,92.5,180.0
1798,60,Female,No,One year,Yes,23,162.5,216.0
1799,65,Male,Yes,Month-to-Month,Yes,9,207.6,103.0
1801,79,Male,Yes,Month-to-Month,Yes,8,242.6,143.0
1802,68,Female,No,Month-to-Month,No,3,107.5,58.0
1803,29,Female,Yes,One year,Yes,10,150.0,109.0
1804,87,Female,No,Month-to-Month,Yes,12,147.5,93.0
1805,34,Male,Yes,Month-to-Month,No,8,152.5,125.0
1806,22,Female,No,Month-to-Month,Yes,9,180.0,82.0
1807,20,Female,Yes,One year,Yes,7,220.1,111.0
1808,33,Male,No,One year,No,3,205.0,58.0
1809,75,Female,Yes,One year,Yes,8,255.2,109.0
1810,86,Male,No,One year,Yes,2,150.0,44.0
1811,68,Male,Yes,One year,No,2,179.9,34.0
1812,60,Female,No,One year,Yes,10,117.5,83.0
1813,25,Male,No,One year,Yes,13,220.2,148.0
1814,39,Male,No,Month-to-Month,Yes,10,152.5,130.0
1815,27,Male,No,Month-to-Month,Yes,15,157.5,129.0
1816,25,Female,No,Two Year,No,7,135.0,66.0
1817,44,Male,No,Month-to-Month,No,10,102.5,87.0
1818,65,Male,Yes,Month-to-Month,Yes,3,137.5,71.0
1820,48,Female,No,One year,Yes,13,170.0,111.0
1821,39,Female,No,Two Year,Yes,10,107.5,92.0
1822,55,Female,No,Month-to-Month,Yes,15,125.0,102.0
1823,71,Female,No,One year,No,13,115.0,96.0
1824,44,Female,Yes,One year,No,4,129.9,87.0
1825,35,Male,Yes,Two Year,Yes,1,205.0,55.0
1826,40,Male,Yes,Month-to-Month,No,12,200.2,143.0
1827,34,Female,Yes,Two Year,Yes,7,262.6,101.0
1828,35,Female,Yes,Two Year,No,6,262.6,104.0
1829,59,Male,Yes,Month-to-Month,No,4,220.1,80.0
1830,73,Female,Yes,Month-to-Month,Yes,7,242.6,99.0
1831,88,Male,Yes,Month-to-Month,Yes,12,192.4,114.0
1832,34,Female,No,Month-to-Month,Yes,13,192.5,117.0
1833,67,Male,No,One year,Yes,2,160.0,38.0
1834,51,Male,No,One year,Yes,4,92.5,67.0
1835,26,Male,No,Two Year,Yes,16,150.0,187.0
1836,45,Male,No,Two Year,Yes,11,222.6,136.0
1837,52,Male,Yes,Month-to-Month,No,5,265.1,97.0
1838,25,Male,Yes,Month-to-Month,Yes,18,195.0,162.0
1839,60,Male,No,Month-to-Month,Yes,18,140.0,151.0
1840,83,Male,No,Month-to-Month,Yes,6,95.0,73.0
1841,25,Male,No,One year,Yes,2,130.0,55.0
1842,58,Male,No,Month-to-Month,Yes,12,92.5,138.0
1843,64,Male,No,Month-to-Month,Yes,11,120.0,129.0
1844,74,Male,No,Two Year,Yes,10,112.5,72.0
1845,27,Male,Yes,Month-to-Month,No,17,187.7,181.0
1846,51,Female,No,Two Year,Yes,7,162.5,79.0
1847,59,Female,Yes,Month-to-Month,No,14,147.4,108.0
1848,78,Male,Yes,Month-to-Month,Yes,1,205.0,42.0
1849,36,Female,No,Month-to-Month,No,12,157.5,101.0
1850,84,Male,Yes,Month-to-Month,Yes,7,190.1,124.0
1851,42,Male,No,One year,Yes,1,205.0,47.0
1852,75,Female,No,One year,Yes,11,160.0,83.0
1853,39,Male,Yes,One year,Yes,10,187.6,111.0
1855,57,Female,No,Month-to-Month,No,17,112.5,121.0
1856,35,Female,No,Month-to-Month,No,13,145.0,112.0
1857,52,Female,Yes,Two Year,No,4,220.1,78.0
1858,66,Male,No,One year,No,9,92.5,106.0
1860,23,Male,Yes,Month-to-Month,Yes,2,137.5,77.0
1861,54,Male,No,Two Year,Yes,24,127.5,176.0
1862,81,Female,No,Month-to-Month,Yes,8,127.5,103.0
1863,21,Male,No,Month-to-Month,Yes,7,147.5,86.0
1864,47,Male,Yes,Month-to-Month,Yes,5,170.0,73.0
1865,47,Male,No,One year,No,15,137.4,135.0
1866,57,Female,No,Month-to-Month,Yes,10,115.0,80.0
1867,19,Female,No,Two Year,Yes,14,150.0,137.0
1868,52,Female,Yes,One year,No,7,190.1,146.0
1869,84,Female,No,Two Year,Yes,9,175.0,98.0
1870,80,Male,Yes,Month-to-Month,Yes,11,162.5,113.0
1871,58,Male,No,Two Year,Yes,4,105.0,53.0
1872,61,Female,Yes,Month-to-Month,Yes,2,175.0,88.0
1873,47,Male,Yes,Month-to-Month,No,2,252.6,75.0
1874,55,Female,Yes,Month-to-Month,No,5,157.5,53.0
1875,89,Female,No,One year,Yes,8,127.5,71.0
1876,81,Male,Yes,One year,No,2,275.1,65.0
1877,81,Female,No,Month-to-Month,Yes,8,160.0,81.0
1878,43,Male,Yes,Month-to-Month,Yes,7,172.5,87.0
1879,84,Male,Yes,Two Year,Yes,7,212.6,135.0
1880,57,Female,Yes,One year,Yes,18,205.0,160.0
1881,73,Male,No,Two Year,Yes,6,170.0,58.0
1882,37,Male,Yes,Month-to-Month,Yes,2,172.5,98.0
1883,86,Male,No,One year,No,3,162.5,42.0
1884,40,Female,No,Month-to-Month,No,3,125.0,33.0
1885,62,Female,Yes,Month-to-Month,No,3,207.5,58.0
1886,69,Male,No,One year,Yes,3,179.9,41.0
1887,20,Male,No,One year,No,7,140.0,82.0
1888,86,Male,No,One year,No,6,182.5,62.0
1889,82,Female,Yes,One year,No,14,235.1,174.0
1890,49,Female,Yes,Month-to-Month,Yes,10,200.1,146.0
1891,68,Male,Yes,Month-to-Month,Yes,7,162.5,125.0
1892,66,Male,Yes,Month-to-Month,No,7,175.1,93.0
1893,29,Male,No,Two Year,Yes,19,172.5,171.0
1894,20,Male,No,One year,No,5,149.9,102.0
1895,53,Female,Yes,Month-to-Month,No,16,162.5,174.0
1896,27,Male,No,One year,Yes,11,80.0,90.0
1897,56,Male,Yes,Month-to-Month,No,7,195.0,82.0
1898,34,Female,No,Month-to-Month,Yes,35,152.5,328.0
1899,37,Female,No,Month-to-Month,Yes,3,117.5,50.0
1900,82,Female,Yes,Two Year,Yes,16,242.7,172.0
1901,57,Male,No,Month-to-Month,No,3,95.0,68.0
1902,45,Male,Yes,Month-to-Month,Yes,2,182.5,64.0
1903,27,Male,No,Month-to-Month,No,4,95.0,51.0
1904,21,Female,Yes,Month-to-Month,Yes,10,127.4,131.0
1905,66,Female,No,Two Year,No,6,152.5,65.0
1906,51,Female,Yes,Month-to-Month,Yes,7,150.0,73.0
1907,30,Female,Yes,Month-to-Month,No,2,127.5,42.0
1908,25,Female,Yes,One year,No,3,210.2,85.0
1909,53,Female,No,Two Year,Yes,25,145.0,181.0
1910,79,Male,Yes,Month-to-Month,Yes,11,197.5,119.0
1911,41,Male,Yes,Month-to-Month,No,7,182.5,89.0
1912,63,Male,No,Month-to-Month,No,16,140.0,132.0
