,CaseOrder,Customer_id,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Multiple,OnlineSecurity,TechSupport,StreamingTV,Tenure,MonthlyCharge,Bandwidth_GB_Year
1207,1208,J909235,575,4,83,23687.02,13.25666082,14,0,0,0,1,0,1,0,13.14070245,137.469817,1577.015173
1208,1209,X512139,63,4,44,95197.4,9.255314336,13,2,0,0,1,1,0,1,19.9235245,172.462354,2113.850791
1209,1210,G343802,702,0,85,29348.16,8.954899011,14,1,2,0,0,1,1,0,1.374911824,142.500692,747.9301328
1210,1211,V350641,10030,4,58,5028.44,11.81175528,10,0,0,0,1,0,0,1,3.106980528,192.440432,708.8254196
1211,1212,R699488,87240,0,80,85717.14,2.110606916,18,1,0,1,0,0,0,1,5.550110436,187.656013,894.4102553
1212,1213,J869368,1038,3,28,34407.99,11.46370907,15,0,0,1,1,1,0,1,9.38712707,277.651257,1712.794495
1213,1214,F570484,2467,3,31,5874.73,9.928856736,12,0,0,0,1,0,1,0,4.005780287,157.469817,554.7295152
1214,1215,N131545,7088,7,87,68836.53,11.57554015,11,0,0,0,0,1,1,1,12.40889924,154.961766,1889.347998
1215,1216,T267542,291,3,36,35105.32,13.27478996,11,1,2,1,0,1,1,0,7.60247544,162.468917,1078.260358
1216,1217,J379461,13961,0,23,15002.6,8.508595449,13,1,0,1,1,0,0,1,10.08463748,182.467607,1310.382845
1217,1218,N14233,17248,2,70,51988.65,8.844986609,9,1,0,0,1,1,1,0,6.169035922,195.006206,909.9557807
1218,1219,I787322,35824,0,24,18692.53,12.25982132,12,0,0,0,1,1,0,0,12.09641389,149.988989,1461.101266
1219,1220,R481476,82,3,49,20896.4,10.03906526,11,3,0,0,1,1,1,0,23.32691904,139.987503,2649.830017
1220,1221,N85718,5714,0,60,41058.3,9.515742803,11,2,0,0,1,0,1,0,8.886360176,172.456745,1340.373707
1221,1222,J651060,142,0,85,22274.11,8.620125009,10,0,1,0,0,1,0,1,15.82334026,190.12704,2123.334993
1222,1223,Y892014,2581,4,32,20436.28,7.85989854,11,0,0,0,1,1,0,1,6.862244054,255.155493,1476.644914
1223,1224,M559025,190,0,46,28733.56,11.57607855,10,0,1,0,1,0,0,1,5.396647294,137.468388,765.7044853
1224,1225,V37260,32195,7,47,20095.5,10.42690816,17,2,0,0,0,0,0,0,18.42609229,147.442069,1890.385398
1226,1227,Z884144,853,4,47,45642.1,10.24268185,8,0,0,1,1,0,1,1,6.832965812,184.949594,1468.00712
1227,1228,V765087,2317,2,21,13802.12,13.65545074,14,1,1,0,1,0,0,0,6.109999694,202.443347,1060.779533
1229,1230,N956188,1548,7,23,9237.79,10.62473397,13,0,1,0,1,0,0,0,12.74748675,159.979358,2008.680996
1230,1231,Q641611,2747,0,41,98906.55,9.540070446,11,0,0,0,1,1,0,0,4.997365436,162.465269,1154.892024
1231,1232,M665668,778,3,37,40529.84,16.88041332,13,1,0,0,1,0,0,0,15.32475177,182.443347,2207.637213
1232,1233,P872354,1848,3,58,49350.86,12.50834927,8,1,0,0,1,0,1,0,18.81607435,194.952509,2346.894471
1233,1234,V198321,37774,0,34,53196.73,8.942252776,9,1,0,0,0,0,0,1,7.629943705,149.962093,954.1807838
1234,1235,H326789,1202,2,77,11113.69,12.8348374,14,0,1,0,1,1,1,0,9.417609509,172.510442,976.910308
1235,1236,D110610,799,4,49,31644.7,15.76975133,8,1,0,0,1,0,1,0,11.96148946,227.475448,1599.474597
1236,1237,J989060,57,0,32,26312.33,13.46868109,14,0,0,0,0,0,0,1,15.48651522,159.934918,1660.386663
1237,1238,Y482387,1489,1,64,78370.93,4.471635302,7,1,0,0,1,0,1,1,21.10862922,184.949594,2536.687205
1238,1239,M112566,23438,2,70,6088.74,10.14904497,14,2,0,0,1,1,0,0,8.825774698,217.483972,1283.000223
1239,1240,U873148,85,1,56,6479.72,8.6681168,16,1,0,0,1,1,1,0,8.574105728,172.510442,945.8621325
1240,1241,E328814,1130,3,45,40710.63,11.28911933,14,1,0,0,0,1,1,1,15.56696462,167.484705,2247.823032
1241,1242,I236091,18208,3,88,73646.38,7.568122559,14,1,0,0,1,0,0,1,8.000279417,172.440432,1441.176168
1242,1243,B46761,271,3,22,32974.25,7.641160647,7,1,0,0,1,1,0,1,15.16346403,139.986074,1765.167048
1243,1244,P362205,3801,1,78,3955.88,10.62427045,12,0,1,1,0,1,0,0,10.43448006,184.978458,1203.563432
1244,1245,Z197598,10987,1,69,53513.98,6.922666965,9,0,0,0,1,0,0,1,8.550692097,232.637807,1692.566285
1245,1246,M132319,25744,0,51,42002.93,10.20539198,15,2,0,0,1,0,0,0,9.323157168,172.470522,1486.494353
1247,1248,V148850,11537,0,22,18159.87,5.205660364,13,0,0,0,1,0,0,1,17.63783701,172.487091,1979.490592
1248,1249,G18466,166,4,66,82924.09,9.816727691,18,0,0,0,1,0,0,0,2.694014031,157.483594,526.38731
1249,1250,S958641,280,4,35,11824.7,8.717398286,15,2,1,0,1,0,0,0,2.937852035,167.456419,570.7344969
1250,1251,A27178,6854,1,39,73624.07,13.75454575,8,0,0,0,0,0,0,0,9.566169913,104.97808,1344.903546
1251,1252,N454763,8621,1,37,51606.19,15.61280724,12,0,1,1,0,1,0,1,2.163284177,152.479779,602.4065111
1252,1253,H02721,463,1,72,36352.23,11.69866136,10,0,1,0,1,1,0,0,14.06970055,127.525,1339.377921
1253,1254,B920638,128,2,64,33589.11,13.56647971,13,1,0,1,0,1,0,0,13.13159395,117.468591,1752.198908
1254,1255,N863885,88,3,48,25866.44,7.697547282,11,0,1,0,1,0,0,0,11.55776139,179.947583,1273.142721
1256,1257,T860986,5367,1,49,71631.82,8.734579171,15,2,2,1,1,1,0,1,2.439520256,245.128318,1341.450253
1258,1259,D84259,180,1,37,30090.22,10.51097693,11,2,0,1,0,1,0,1,8.255617012,225.145743,1917.60124
1259,1260,X989117,7033,0,55,3811.96,7.518278856,15,0,0,0,0,0,1,0,5.174032539,104.964303,820.9557127
1260,1261,B308070,38885,0,54,38513.67,11.93951737,10,2,0,0,0,1,0,1,8.16762508,142.499263,1148.911745
1261,1262,E439042,1448,0,63,35130.18,12.69971233,12,3,0,0,0,0,0,0,14.96689418,139.965008,1919.921479
1262,1263,R437395,1159,2,65,37445.32,7.947973086,15,1,0,0,1,0,0,0,7.537243981,214.966286,1036.324728
1263,1264,C28930,6049,2,41,67940.02,12.26691686,8,0,0,0,0,0,1,1,18.95221637,117.472036,1839.699549
1264,1265,X528575,37976,0,79,20078.44,14.82798335,12,1,1,1,0,1,1,1,5.011735021,190.159922,847.9561126
1265,1266,X666934,13564,1,26,27692.11,10.39540448,10,3,0,0,0,0,0,0,2.728247011,147.442069,488.2811705
1266,1267,B431778,1239,3,63,18895.42,9.064004874,12,2,0,0,0,0,0,0,7.138985437,127.488728,875.0932458
1267,1268,W891810,23474,0,73,22536.48,8.420093797,11,0,0,0,1,1,1,1,22.71649048,184.971516,2128.80443
1268,1269,P684515,2978,2,55,35730.59,9.420067912,17,1,0,1,1,0,1,0,13.28051861,214.952509,1541.165921
1269,1270,Q136086,388,2,43,79669.11,11.20745718,14,0,1,0,1,0,0,0,27.96096319,159.994242,2687.9401
1270,1271,N762092,1278,1,48,36901.24,7.436719685,13,1,0,0,1,0,1,1,4.61174735,194.976769,768.0341067
1271,1272,K402176,6450,2,72,27660.28,5.833716636,15,0,0,0,0,0,0,0,9.94963312,112.455141,882.5591385
1272,1273,O139361,824,2,18,39092.7,7.79720649,9,1,1,0,1,1,0,0,15.71358455,115.002061,1679.045392
1273,1274,I407574,39381,4,33,43436.42,7.584336396,11,0,0,0,0,0,1,1,12.60420397,242.61428,1809.863378
1274,1275,H523864,1152,1,33,56327.41,14.18701742,14,0,0,0,0,0,1,0,17.92733138,152.47417,2295.960298
1275,1276,N794031,18427,0,76,16762.99,11.54198689,7,1,0,1,1,1,0,0,6.818705821,217.483972,955.0181592
1276,1277,Z964652,14393,0,55,46854.5,10.51853461,12,0,0,0,1,0,0,0,15.97494301,159.979358,2035.008705
1277,1278,P176039,1259,3,48,34372.27,7.871451091,13,2,1,0,1,0,0,0,14.39399314,169.967067,1681.813552
1278,1279,A531249,2153,0,87,24378.22,10.67112794,13,1,0,0,0,1,1,1,9.983052758,215.159141,1774.760154
1279,1280,Y979093,19165,1,74,31198.52,12.01473007,13,2,1,0,0,0,0,1,2.704950495,187.656013,711.7404846
1280,1281,V673184,256,1,55,38162.85,9.241864687,15,2,2,0,0,0,0,1,20.83084927,207.609354,2221.139588
1281,1282,Y786322,673,3,65,36333.77,10.48393458,13,3,0,0,1,0,0,1,1.225588884,192.440432,547.9869964
1282,1283,A613334,7020,2,44,13288.6,12.67159952,13,0,1,0,0,0,0,1,10.44973947,152.457857,1768.55004
1283,1284,R760297,290,3,19,25446.01,8.414092289,10,0,1,0,0,0,0,1,3.418302206,207.609354,926.9394553
1284,1285,Y793007,861,4,87,26129.83,6.292455476,13,3,0,1,0,1,1,0,4.837990763,162.468917,715.3186358
1285,1286,B14813,490,0,85,76184.47,8.665638946,10,1,0,0,1,0,0,0,1.963127209,172.470522,771.9557231
1286,1287,F421496,890,3,27,81803.03,14.63754555,15,0,0,0,0,0,1,1,10.34247598,129.948316,1671.469773
1287,1288,W198106,876,1,55,54981.51,15.09456492,12,0,1,0,0,0,0,0,1.156719701,137.461553,358.4232611
1289,1290,S755342,25815,1,73,69444.54,7.207577411,12,3,0,0,1,0,0,0,3.124488057,147.471303,520.8892347
1290,1291,I845157,321,1,68,57844.94,13.72595127,9,2,0,0,1,1,1,0,6.958063425,197.470195,1356.12218
1291,1292,L259175,1006,3,50,36772.35,7.987261514,14,0,0,0,1,0,1,0,7.010189312,179.965581,914.8863272
1292,1293,W252609,6904,3,23,22853.63,13.96678169,13,1,0,0,0,0,0,0,2.447985699,147.473844,638.4642534
1293,1294,P619108,17907,1,36,39702.07,3.356393859,16,1,1,0,0,1,0,1,4.269258862,174.975543,919.2881691
1294,1295,P78007,4993,3,53,27546.33,16.41256411,11,1,0,1,0,0,1,0,8.343625652,162.446995,1515.532948
1295,1296,E137592,655,2,62,27329.96,13.37613844,16,0,2,0,0,0,1,0,4.397705634,147.460067,476.4598684
1296,1297,I894965,603,3,89,56631.76,6.839793198,12,0,0,0,1,0,1,1,11.08150154,182.45383,1140.151122
1299,1300,T667020,6140,3,19,65377.87,9.863350742,12,0,0,0,0,0,0,0,4.845060681,147.442069,746.2481195
1300,1301,W226633,28804,0,63,23514.45,10.6945716,17,4,0,1,0,0,1,0,11.19078648,104.964303,1370.012453
1302,1303,L361543,19389,1,45,35556.27,12.2300724,12,0,0,1,0,0,0,0,21.16641251,182.460772,2115.906589
1303,1304,H297976,9077,1,29,42326.58,9.953164978,13,0,0,0,0,1,1,1,25.88644227,164.988941,2576.783187
1304,1305,G371724,36202,0,87,4523.8,13.69110294,11,1,0,0,0,0,0,0,15.59096202,127.473844,1826.678884
1305,1306,R244586,3028,0,27,7128.27,8.71758667,5,2,0,1,0,0,0,0,13.03099332,149.984492,1559.824693
1307,1308,N864022,1185,4,41,29093.29,8.249879184,8,1,1,0,0,1,0,0,1.124656757,137.468591,409.5740796
1308,1309,Z807165,22294,0,70,65477.76,12.97906926,13,2,1,1,0,1,0,0,3.551651444,164.978458,1048.538032
1309,1310,O866592,10667,1,74,18185.88,12.57260598,16,3,0,0,0,1,0,1,7.925553778,154.975543,1460.729298
1310,1311,Z723653,1416,0,72,34217.69,13.58758162,12,1,0,0,1,1,0,0,3.685081574,160.00128,539.9859818
1311,1312,L529868,1815,0,71,56034.16,5.615789376,11,0,0,0,0,0,0,0,2.659423565,182.460772,483.4546178
1312,1313,Z973803,24438,4,55,16526.81,10.86355397,12,2,0,0,0,0,0,1,1.355493769,117.485813,541.4070913
1314,1315,D79066,26588,3,38,40392.47,9.73677222,11,1,0,0,0,1,0,0,11.03162791,172.455519,1442.347357
1315,1316,M708037,86,0,21,43889.69,8.332567184,14,1,0,0,0,1,0,1,9.141192423,129.976324,1204.678983
1316,1317,H378177,949,3,71,30101.28,5.210753949,17,0,2,0,0,0,1,0,4.633545041,139.99789,730.1829735
1317,1318,W949462,1826,2,49,26569.81,10.43343891,10,2,1,1,0,1,0,0,9.22316707,94.972827,1304.854276
1318,1319,X888490,342,6,74,67521.69,7.67710837,15,1,0,0,0,0,0,0,24.0737635,169.937833,2410.11164
1319,1320,W66069,265,3,34,62441.01,4.87057775,13,1,2,0,0,1,1,1,7.771315315,187.484705,1278.688937
1320,1321,N663585,3161,0,42,19165.73,5.221173325,11,0,1,0,1,1,0,1,5.7018635,172.462354,831.9771606
1321,1322,Z526333,26320,3,26,33846.23,8.106603381,11,2,0,0,1,0,1,1,2.456217972,275.119794,995.4220744
1322,1323,A959352,32825,0,48,24892.78,8.546096292,17,0,1,0,1,0,1,1,2.849622074,194.976769,592.8646912
1323,1324,M79725,48863,0,42,77107.03,14.90633873,12,1,0,0,0,0,0,0,12.61694943,112.455141,1055.617042
1324,1325,B286935,26182,0,88,35108.41,14.54049442,8,0,1,0,0,1,0,0,2.967533379,139.979239,525.3069851
1325,1326,V492229,834,2,41,32296.27,8.627473352,13,2,0,1,0,1,1,1,4.44463064,245.131966,1128.690355
1326,1327,P331793,16638,4,55,27019.83,11.27833464,13,3,0,0,0,0,1,0,10.92247392,162.446995,1668.779606
1327,1328,E919874,53364,2,20,12353.15,10.92368132,11,1,0,0,0,0,0,0,5.696461819,169.937833,958.2229045
1328,1329,D598850,19001,3,83,35982.39,10.6224092,10,1,0,0,0,0,0,1,5.173463744,139.981577,825.6469228
1329,1330,V658272,8741,0,42,42104.6,9.271510114,8,0,0,0,1,0,0,0,9.339307484,144.960655,941.291001
1331,1332,Z282830,9262,1,72,48881.55,9.095661093,9,3,0,0,1,1,0,0,3.955928538,197.483972,1260.12789
1332,1333,R687130,1898,5,45,32000.75,7.686998495,18,0,0,0,1,0,0,1,9.652842643,220.161527,1618.259683
1333,1334,S06268,547,1,18,29822.31,11.72310409,14,1,0,0,0,0,0,0,16.53244292,147.442069,1727.882293
1335,1336,Z703867,92,0,25,27669.39,8.498824483,12,1,0,1,1,0,0,0,22.57289049,147.456419,2588.843484
1336,1337,I110420,5694,0,58,42027.65,7.723994889,11,0,0,0,0,0,0,0,8.571860106,104.97808,1170.35317
1337,1338,T824376,25271,0,86,69014.19,10.58554141,15,0,0,0,1,0,0,1,7.195810535,220.114868,1409.882802
1338,1339,B68757,1028,1,88,63827.57,6.204764784,10,3,0,0,0,0,1,0,2.978504665,182.446995,486.1105716
1339,1340,V91565,13178,5,48,16502.68,9.457948968,13,0,0,0,1,1,0,0,2.661961707,160.00128,688.7644008
1340,1341,Z517352,933,7,86,45181.64,6.974510376,16,2,0,0,1,0,0,1,2.834098048,240.114868,901.5457844
1341,1342,L156274,26340,3,39,45244.57,11.5455462,12,4,0,0,1,1,0,1,8.637184433,255.155493,1568.344567
1342,1343,S664476,51447,1,55,27457.73,10.28781284,11,1,0,1,1,0,0,1,10.46190099,220.114868,1809.921626
1343,1344,A568113,6610,0,34,7326.3,9.24582929,8,4,1,0,0,0,1,1,4.861047755,142.471255,1192.174805
1344,1345,L932066,31736,0,69,60631.73,6.336266086,10,3,1,1,1,0,0,0,9.62893496,179.947583,953.8934493
1346,1347,U100638,388,2,66,36635.39,5.245083025,13,1,0,0,0,1,1,1,7.912612583,187.484705,1154.565474
1347,1348,Z587554,56765,2,39,11435.62,8.931385159,14,0,0,0,0,0,0,0,3.135848347,127.488728,677.2734494
1348,1349,Z458777,4731,0,56,3381.33,8.350691799,13,1,0,1,0,0,1,1,9.31669305,162.471255,1024.582571
1349,1350,M689888,21939,3,44,57644.66,13.18140871,16,3,1,0,1,0,0,0,6.485770796,137.483594,1291.915318
1350,1351,Y735827,2722,2,18,41967.93,17.04978252,13,0,2,0,1,0,0,1,10.55505829,149.944668,1755.239032
1351,1352,L812206,372,1,70,27990.52,8.304302989,12,1,1,0,0,0,1,0,19.43267321,172.47417,1884.50089
1352,1353,O852145,4913,1,46,29318.41,13.65178245,10,1,0,0,1,0,1,0,2.108441505,184.979684,1029.123182
1353,1354,F34950,4535,4,30,33315.46,14.81141178,12,1,0,0,1,1,1,1,16.08842518,199.990219,2489.519356
1354,1355,I124986,25577,1,76,42506.64,10.95303334,9,0,0,0,1,0,1,0,4.860645308,172.503404,742.7794122
1355,1356,N434328,3191,4,33,6878.84,8.61275076,11,1,0,0,0,1,0,0,18.88610542,82.496547,1797.14783
1356,1357,Z900859,69142,1,74,11856.64,15.95494909,15,0,0,0,0,0,1,0,11.73492964,182.446995,1249.494056
1357,1358,Y952292,7222,0,21,19017.34,12.03501573,10,1,0,0,0,0,0,1,9.841085026,197.628838,1495.341126
1358,1359,H490984,3758,2,71,62781.25,11.66278135,11,0,0,0,1,1,0,0,7.819783852,174.988208,1516.797047
1359,1360,X683383,8778,4,66,5601.94,13.63078539,10,0,1,1,0,0,1,1,29.70527547,164.967019,3293.015758
1360,1361,N464571,2161,0,66,41527.17,11.51565844,9,1,0,0,1,0,1,0,2.478012402,207.475448,1057.037731
1361,1362,L497687,4761,0,35,11098.51,4.48844021,15,2,0,0,1,0,1,1,4.089115347,255.119794,1467.90459
1362,1363,S351935,1823,4,25,50670.27,12.69180844,13,1,0,0,0,1,0,1,20.96092159,142.452604,2743.734408
1363,1364,X65353,408,0,43,30118.57,7.636999105,12,0,0,1,0,0,1,0,4.55454522,117.487242,976.9718156
1364,1365,G27660,33049,4,72,12704.28,12.02547979,12,0,0,1,1,0,1,1,2.876901531,275.119794,956.9132284
1365,1366,M373201,751,3,25,54567.1,8.842844227,12,1,0,0,0,0,1,0,5.682066541,172.47417,884.6278615
1368,1369,A159743,90,0,23,41979.65,6.209819263,9,1,0,0,1,0,1,0,5.146834768,172.456745,1237.560637
1369,1370,U956918,3776,1,20,40057.18,14.81848646,5,0,0,0,1,0,0,0,21.63512984,179.947583,2211.379038
1371,1372,L929915,1185,3,81,18913.5,6.998489346,14,1,1,0,1,0,1,0,15.26657624,204.979684,1558.309095
1372,1373,S844282,312,2,57,56342.23,9.899590419,15,2,0,0,0,1,0,0,2.62860278,104.992311,501.0626363
1373,1374,Z420709,98,1,32,57826.31,7.233747171,8,0,0,1,0,0,0,1,2.045299662,137.439154,495.8370195
1374,1375,G372009,8002,4,60,90889.4,12.04083843,15,1,0,0,1,0,0,1,23.05042619,242.657291,2730.054658
1375,1376,M843500,0,4,64,36220.07,12.30730362,15,1,2,0,0,1,1,1,7.677039536,235.159141,1370.86345
1376,1377,S60448,2621,0,48,47229.76,13.27653911,17,1,1,1,0,1,0,0,5.427546075,117.468591,1111.834697
1377,1378,D613617,28633,4,40,22390.15,9.873985217,9,2,1,0,0,1,1,1,14.05740045,190.159922,1887.197833
1379,1380,O937146,20940,4,64,71721.17,14.71733435,14,3,1,0,1,0,0,1,14.23594392,169.944668,1507.046722
1380,1381,E581896,18674,0,21,45734.73,7.051157559,13,0,0,0,0,0,1,1,3.883156675,200.118516,1330.988714
1382,1383,J61610,16897,2,72,22070.09,16.15922157,13,2,0,0,0,1,1,0,4.891651665,130.024412,644.4955303
1383,1384,Q404548,1015,5,23,42479.0,8.229564778,11,1,0,0,1,0,0,1,5.812856338,159.964152,1076.076012
1384,1385,E28570,754,3,37,31781.03,9.016531101,11,0,0,0,0,0,1,0,1.67735795,159.951231,432.0011277
1385,1386,R893524,2557,3,24,47256.46,9.066791953,16,0,1,0,1,0,0,0,10.55675189,192.470522,1437.241364
1387,1388,K816219,534,2,32,81622.91,9.04153153,6,0,1,0,0,0,1,1,12.48678964,200.165175,1733.107782
1388,1389,P613936,955,3,59,52687.01,11.44953763,20,2,0,0,0,1,0,1,9.553290527,245.145743,1599.874839
1389,1390,M168449,1543,1,44,21817.19,9.215937432,17,2,0,0,0,0,1,0,6.307898491,159.951231,726.8978219
1390,1391,Z804586,127,1,60,38135.76,8.071539004,13,1,0,0,1,0,0,0,7.195646567,134.980139,831.4033785
1391,1392,J21506,1142,4,56,28438.52,10.1125551,12,1,1,0,0,0,0,1,15.15825465,175.133074,1798.360928
1392,1393,H433120,975,3,23,22561.45,10.62160932,10,1,2,0,1,0,0,1,22.56250894,220.114868,3014.958938
1393,1394,O808338,109,0,24,13935.17,12.24888394,15,1,0,0,0,1,1,0,2.619468979,162.468917,534.6671843
1394,1395,I714132,17389,0,85,15433.62,13.41929614,12,2,0,0,1,0,0,0,7.321650003,112.484375,552.7011071
1395,1396,Y686545,22529,2,55,57281.66,5.762293362,10,2,1,0,0,0,0,1,3.469955007,242.628057,961.4921994
1396,1397,L130149,878,4,52,48038.44,9.5872321,10,3,0,0,0,0,0,0,17.88183906,114.965789,1737.043258
1398,1399,H774850,89075,4,49,27950.05,8.088610041,14,1,0,0,0,0,0,1,17.12047934,139.934918,2275.16632
1400,1401,I783595,10842,3,45,55370.33,13.11354412,14,0,0,0,1,1,1,0,7.59915732,182.483267,972.4555268
1401,1402,L928678,560,3,24,31003.45,9.234299939,11,1,0,1,1,0,0,1,12.71183755,255.133571,2383.673575
1402,1403,V838270,22273,2,32,55523.0,10.21011328,11,3,0,1,0,0,0,0,3.868738215,169.937833,686.8335296
1404,1405,J397554,447,0,73,47596.81,9.923698853,14,1,0,0,1,0,1,1,3.871799525,252.62403,770.971694
1405,1406,S589285,6289,3,87,11565.2,10.35922638,14,1,0,0,1,1,0,1,2.288223389,245.174977,937.6860638
1406,1407,N874492,1204,4,62,24216.4,13.09191109,14,1,0,0,0,1,1,1,9.331730104,132.466002,1579.887065
1407,1408,U229289,2474,1,82,10429.51,8.102739551,13,1,1,0,1,1,0,1,17.01228541,222.632554,2294.265591
1408,1409,Z716087,344,3,71,34905.9,13.49890874,11,0,0,0,1,1,1,1,4.556801333,165.018175,871.9497737
1409,1410,V250371,20926,1,71,97462.46,12.05972869,13,0,0,0,0,0,0,0,1.522691557,127.442069,737.7421962
1410,1411,F809236,1800,0,55,39746.81,8.242313408,15,2,0,1,1,1,1,1,2.988653862,152.495236,571.3635369
1411,1412,F973379,41,2,61,41817.73,5.326776882,12,2,0,0,0,0,0,0,9.821119931,139.965008,1566.414462
1412,1413,E486314,911,3,41,17888.07,14.62580855,6,1,0,0,0,0,1,1,2.495010749,129.948316,935.5106086
1413,1414,O969694,3814,4,54,30398.93,10.79945853,10,1,0,0,0,1,1,1,4.452382314,144.988941,1244.404963
1414,1415,I674556,19215,0,53,8657.1,10.75378608,12,1,1,0,1,0,1,0,3.847102787,149.992756,875.8840004
1415,1416,Q881585,3431,3,49,46183.9,6.399633802,14,0,2,0,0,0,1,0,3.688657724,159.951231,557.4590468
1416,1417,K376911,62,2,69,9106.57,12.29278948,4,2,0,0,1,0,1,0,21.13118502,184.979684,2543.181756
1417,1418,Y243544,13,1,59,50103.36,6.223741222,11,1,0,0,0,1,1,0,23.44153546,127.481989,1997.134556
1418,1419,P670407,743,1,18,1193.19,12.00707872,13,0,0,1,0,1,1,1,4.594946825,132.466002,1196.617394
1419,1420,X404290,819,2,36,57322.77,16.89111923,10,1,0,0,1,0,0,1,8.085917091,192.440432,1088.288955
1420,1421,S961459,9045,1,55,7682.28,8.462349988,14,2,0,0,0,0,1,0,6.086525665,139.99789,840.1259162
1421,1422,G676884,15515,1,22,13337.97,10.99334684,15,1,1,0,1,0,1,1,3.295993837,217.472533,839.4587853
1422,1423,D633161,0,3,56,66945.1,11.91191765,15,1,0,0,0,0,0,1,2.354138635,139.934918,1011.509096
1423,1424,J787663,12162,1,89,38227.48,8.849510435,14,1,0,1,0,0,0,1,5.68109955,139.981577,738.9464573
1424,1425,P888518,1594,1,82,60150.88,8.637279441,11,0,1,0,0,1,1,0,16.96762986,149.977753,1567.544174
1425,1426,F102583,196,7,35,49128.48,13.3037367,10,2,0,0,0,0,0,0,4.544027018,147.442069,874.5485738
1426,1427,G359370,1741,0,20,23702.37,12.77224032,12,0,0,0,0,0,0,0,10.3444125,149.937833,1690.990907
1427,1428,E214052,1085,1,39,25368.71,8.6548926,14,0,0,0,0,1,0,0,4.672608309,129.959755,1093.673208
1428,1429,H696459,529,2,65,1593.76,10.617244,13,1,0,0,1,0,0,0,11.44470291,137.483594,1598.603464
1429,1430,B335074,46286,3,28,24984.75,9.103936329,20,2,1,0,1,0,0,1,16.78883402,204.963371,1982.607316
1430,1431,U362149,725,1,86,29315.24,7.420757697,10,3,0,0,1,1,1,1,10.27733324,270.160419,1998.877156
1431,1432,H513187,6292,5,27,13262.8,9.694498267,17,1,0,0,0,0,0,0,15.98515564,169.937833,1870.659833
1432,1433,R715020,208,0,65,20617.44,9.460602685,13,0,2,1,1,0,0,1,3.19677148,262.610632,831.5573687
1433,1434,E631569,2564,5,61,44278.91,7.093445651,16,1,0,0,0,0,1,0,2.256763731,152.47417,1043.284658
1434,1435,J364503,732,4,39,96112.52,11.02362934,12,2,0,0,0,1,1,1,1.915736733,119.989722,587.0970427
1435,1436,B794135,1268,0,55,23194.97,13.28231537,17,3,0,0,1,0,1,1,14.02688588,245.146969,2207.767111
1437,1438,X623749,1234,0,35,23781.26,6.476262682,16,0,1,0,0,0,0,0,16.48377098,127.442069,1968.581014
1438,1439,E832576,1431,0,23,77548.98,11.47612243,7,0,0,0,0,0,0,0,7.989151046,137.461553,992.3896521
1439,1440,D102792,678,0,75,63986.3,3.242890295,12,1,0,1,0,0,1,0,5.682395213,124.964303,383.5428131
1440,1441,X235629,20,1,24,99754.87,6.093961352,16,1,0,0,0,0,1,1,10.99225739,129.994975,1297.575754
1441,1442,X977611,5288,0,34,49399.04,6.536106461,9,1,1,0,0,0,1,1,1.550200335,162.471255,507.3968121
1443,1444,K265887,33,4,50,29216.14,9.047716037,9,0,1,0,1,0,1,0,7.840871292,182.476229,1173.415489
1444,1445,E975865,2712,4,46,65864.17,12.2946551,13,2,0,1,1,1,1,0,7.349883172,127.511223,885.546457
1445,1446,B796987,3334,1,46,25126.23,14.66578819,14,0,0,0,1,1,1,1,5.414586898,187.513939,1009.567691
1446,1447,V749792,193,0,24,39373.92,4.817687941,6,2,0,0,1,1,0,0,9.605264775,160.00128,1100.161591
1447,1448,F815786,4912,4,32,52197.12,9.624162233,13,1,0,0,1,0,0,0,4.843533662,182.490006,985.3722849
1448,1449,T812251,1611,1,57,47514.11,8.89730623,14,0,1,0,0,0,0,0,13.24581884,112.455141,1171.036365
1449,1450,L430003,24580,3,50,12599.71,13.35764807,13,0,0,0,0,0,0,1,3.330819942,137.439154,556.6697772
1450,1451,A379980,952,0,49,44739.96,10.20266008,15,0,1,0,1,1,0,0,1.84918194,147.478341,297.5330656
1451,1452,G88929,7380,2,69,53103.72,7.406220732,14,1,1,0,1,0,1,0,9.07813252,124.993537,814.974232
1452,1453,K927289,3006,3,77,75066.56,11.23380581,16,0,0,0,0,1,0,1,6.585140105,120.003499,942.2015895
1454,1455,N323793,31607,3,26,61773.61,3.93506187,12,1,0,0,0,0,0,1,10.11687657,139.934918,1698.876321
1455,1456,L223256,5098,3,30,53853.79,10.06689273,8,0,1,1,0,0,0,1,2.181372893,242.628057,1015.71304
1456,1457,O316327,708,1,78,27235.84,6.681633242,13,1,0,1,0,0,0,0,14.26615817,127.473844,1696.133718
1457,1458,E596633,253,1,73,11644.24,12.51404385,15,3,0,1,1,1,1,0,19.08438023,162.498151,1825.848805
1458,1459,K605178,8660,0,39,33945.2,6.608008759,13,0,0,0,0,0,0,0,6.203299256,134.950905,633.9224183
1459,1460,R338627,13680,0,39,13724.61,12.08833226,13,1,0,0,0,1,1,0,3.354127023,127.481989,468.2897271
1460,1461,A577468,57800,0,72,26759.06,6.612802087,6,1,0,0,0,1,0,1,9.38354759,142.452604,1470.820856
