,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Multiple,OnlineSecurity,TechSupport,StreamingTV,MonthlyCharge,Bandwidth_GB_Year
1354,25577,1,76,42506.64,1,10.95303334,9,0,0,0,1,0,1,0,172.503404,742.7794122
1355,3191,4,33,6878.84,0,8.61275076,11,1,0,0,0,1,0,0,82.496547,1797.14783
1356,69142,1,74,11856.64,1,15.95494909,15,0,0,0,0,0,1,0,182.446995,1249.494056
1357,7222,0,21,19017.34,1,12.03501573,10,1,0,0,0,0,0,1,197.628838,1495.341126
1358,3758,2,71,62781.25,1,11.66278135,11,0,0,0,1,1,0,0,174.988208,1516.797047
1359,8778,4,66,5601.94,1,13.63078539,10,0,1,1,0,0,1,1,164.967019,3293.015758
1360,2161,0,66,41527.17,1,11.51565844,9,1,0,0,1,0,1,0,207.475448,1057.037731
1361,4761,0,35,11098.51,1,4.48844021,15,2,0,0,1,0,1,1,255.119794,1467.90459
1362,1823,4,25,50670.27,1,12.69180844,13,1,0,0,0,1,0,1,142.452604,2743.734408
1363,408,0,43,30118.57,0,7.636999105,12,0,0,1,0,0,1,0,117.487242,976.9718156
1364,33049,4,72,12704.28,1,12.02547979,12,0,0,1,1,0,1,1,275.119794,956.9132284
1365,751,3,25,54567.1,1,8.842844227,12,1,0,0,0,0,1,0,172.47417,884.6278615
1368,90,0,23,41979.65,1,6.209819263,9,1,0,0,1,0,1,0,172.456745,1237.560637
1369,3776,1,20,40057.18,0,14.81848646,5,0,0,0,1,0,0,0,179.947583,2211.379038
1371,1185,3,81,18913.5,0,6.998489346,14,1,1,0,1,0,1,0,204.979684,1558.309095
1372,312,2,57,56342.23,0,9.899590419,15,2,0,0,0,1,0,0,104.992311,501.0626363
1373,98,1,32,57826.31,0,7.233747171,8,0,0,1,0,0,0,1,137.439154,495.8370195
1374,8002,4,60,90889.4,0,12.04083843,15,1,0,0,1,0,0,1,242.657291,2730.054658
1375,0,4,64,36220.07,1,12.30730362,15,1,2,0,0,1,1,1,235.159141,1370.86345
1376,2621,0,48,47229.76,0,13.27653911,17,1,1,1,0,1,0,0,117.468591,1111.834697
1377,28633,4,40,22390.15,1,9.873985217,9,2,1,0,0,1,1,1,190.159922,1887.197833
1379,20940,4,64,71721.17,0,14.71733435,14,3,1,0,1,0,0,1,169.944668,1507.046722
1380,18674,0,21,45734.73,1,7.051157559,13,0,0,0,0,0,1,1,200.118516,1330.988714
1382,16897,2,72,22070.09,0,16.15922157,13,2,0,0,0,1,1,0,130.024412,644.4955303
1383,1015,5,23,42479.0,0,8.229564778,11,1,0,0,1,0,0,1,159.964152,1076.076012
1384,754,3,37,31781.03,0,9.016531101,11,0,0,0,0,0,1,0,159.951231,432.0011277
1385,2557,3,24,47256.46,1,9.066791953,16,0,1,0,1,0,0,0,192.470522,1437.241364
1387,534,2,32,81622.91,0,9.04153153,6,0,1,0,0,0,1,1,200.165175,1733.107782
1388,955,3,59,52687.01,1,11.44953763,20,2,0,0,0,1,0,1,245.145743,1599.874839
1389,1543,1,44,21817.19,0,9.215937432,17,2,0,0,0,0,1,0,159.951231,726.8978219
1390,127,1,60,38135.76,0,8.071539004,13,1,0,0,1,0,0,0,134.980139,831.4033785
1391,1142,4,56,28438.52,1,10.1125551,12,1,1,0,0,0,0,1,175.133074,1798.360928
1392,975,3,23,22561.45,1,10.62160932,10,1,2,0,1,0,0,1,220.114868,3014.958938
1393,109,0,24,13935.17,0,12.24888394,15,1,0,0,0,1,1,0,162.468917,534.6671843
1394,17389,0,85,15433.62,0,13.41929614,12,2,0,0,1,0,0,0,112.484375,552.7011071
1395,22529,2,55,57281.66,1,5.762293362,10,2,1,0,0,0,0,1,242.628057,961.4921994
1396,878,4,52,48038.44,1,9.5872321,10,3,0,0,0,0,0,0,114.965789,1737.043258
1398,89075,4,49,27950.05,0,8.088610041,14,1,0,0,0,0,0,1,139.934918,2275.16632
1400,10842,3,45,55370.33,0,13.11354412,14,0,0,0,1,1,1,0,182.483267,972.4555268
1401,560,3,24,31003.45,1,9.234299939,11,1,0,1,1,0,0,1,255.133571,2383.673575
1402,22273,2,32,55523.0,1,10.21011328,11,3,0,1,0,0,0,0,169.937833,686.8335296
1404,447,0,73,47596.81,0,9.923698853,14,1,0,0,1,0,1,1,252.62403,770.971694
1405,6289,3,87,11565.2,1,10.35922638,14,1,0,0,1,1,0,1,245.174977,937.6860638
1406,1204,4,62,24216.4,0,13.09191109,14,1,0,0,0,1,1,1,132.466002,1579.887065
1407,2474,1,82,10429.51,1,8.102739551,13,1,1,0,1,1,0,1,222.632554,2294.265591
1408,344,3,71,34905.9,0,13.49890874,11,0,0,0,1,1,1,1,165.018175,871.9497737
1409,20926,1,71,97462.46,0,12.05972869,13,0,0,0,0,0,0,0,127.442069,737.7421962
1410,1800,0,55,39746.81,1,8.242313408,15,2,0,1,1,1,1,1,152.495236,571.3635369
1411,41,2,61,41817.73,0,5.326776882,12,2,0,0,0,0,0,0,139.965008,1566.414462
1412,911,3,41,17888.07,1,14.62580855,6,1,0,0,0,0,1,1,129.948316,935.5106086
1413,3814,4,54,30398.93,0,10.79945853,10,1,0,0,0,1,1,1,144.988941,1244.404963
1414,19215,0,53,8657.1,1,10.75378608,12,1,1,0,1,0,1,0,149.992756,875.8840004
1415,3431,3,49,46183.9,0,6.399633802,14,0,2,0,0,0,1,0,159.951231,557.4590468
1416,62,2,69,9106.57,1,12.29278948,4,2,0,0,1,0,1,0,184.979684,2543.181756
1417,13,1,59,50103.36,0,6.223741222,11,1,0,0,0,1,1,0,127.481989,1997.134556
1418,743,1,18,1193.19,1,12.00707872,13,0,0,1,0,1,1,1,132.466002,1196.617394
1419,819,2,36,57322.77,1,16.89111923,10,1,0,0,1,0,0,1,192.440432,1088.288955
1420,9045,1,55,7682.28,0,8.462349988,14,2,0,0,0,0,1,0,139.99789,840.1259162
1421,15515,1,22,13337.97,0,10.99334684,15,1,1,0,1,0,1,1,217.472533,839.4587853
1422,0,3,56,66945.1,0,11.91191765,15,1,0,0,0,0,0,1,139.934918,1011.509096
1423,12162,1,89,38227.48,1,8.849510435,14,1,0,1,0,0,0,1,139.981577,738.9464573
1424,1594,1,82,60150.88,0,8.637279441,11,0,1,0,0,1,1,0,149.977753,1567.544174
1425,196,7,35,49128.48,1,13.3037367,10,2,0,0,0,0,0,0,147.442069,874.5485738
1426,1741,0,20,23702.37,1,12.77224032,12,0,0,0,0,0,0,0,149.937833,1690.990907
1427,1085,1,39,25368.71,1,8.6548926,14,0,0,0,0,1,0,0,129.959755,1093.673208
1428,529,2,65,1593.76,0,10.617244,13,1,0,0,1,0,0,0,137.483594,1598.603464
1429,46286,3,28,24984.75,1,9.103936329,20,2,1,0,1,0,0,1,204.963371,1982.607316
1430,725,1,86,29315.24,1,7.420757697,10,3,0,0,1,1,1,1,270.160419,1998.877156
1431,6292,5,27,13262.8,0,9.694498267,17,1,0,0,0,0,0,0,169.937833,1870.659833
1432,208,0,65,20617.44,1,9.460602685,13,0,2,1,1,0,0,1,262.610632,831.5573687
1433,2564,5,61,44278.91,1,7.093445651,16,1,0,0,0,0,1,0,152.47417,1043.284658
1434,732,4,39,96112.52,1,11.02362934,12,2,0,0,0,1,1,1,119.989722,587.0970427
1435,1268,0,55,23194.97,1,13.28231537,17,3,0,0,1,0,1,1,245.146969,2207.767111
1437,1234,0,35,23781.26,0,6.476262682,16,0,1,0,0,0,0,0,127.442069,1968.581014
1438,1431,0,23,77548.98,1,11.47612243,7,0,0,0,0,0,0,0,137.461553,992.3896521
1439,678,0,75,63986.3,0,3.242890295,12,1,0,1,0,0,1,0,124.964303,383.5428131
1440,20,1,24,99754.87,1,6.093961352,16,1,0,0,0,0,1,1,129.994975,1297.575754
1441,5288,0,34,49399.04,0,6.536106461,9,1,1,0,0,0,1,1,162.471255,507.3968121
1443,33,4,50,29216.14,1,9.047716037,9,0,1,0,1,0,1,0,182.476229,1173.415489
1444,2712,4,46,65864.17,0,12.2946551,13,2,0,1,1,1,1,0,127.511223,885.546457
1445,3334,1,46,25126.23,0,14.66578819,14,0,0,0,1,1,1,1,187.513939,1009.567691
1446,193,0,24,39373.92,0,4.817687941,6,2,0,0,1,1,0,0,160.00128,1100.161591
1447,4912,4,32,52197.12,1,9.624162233,13,1,0,0,1,0,0,0,182.490006,985.3722849
1448,1611,1,57,47514.11,0,8.89730623,14,0,1,0,0,0,0,0,112.455141,1171.036365
1449,24580,3,50,12599.71,1,13.35764807,13,0,0,0,0,0,0,1,137.439154,556.6697772
1450,952,0,49,44739.96,0,10.20266008,15,0,1,0,1,1,0,0,147.478341,297.5330656
1451,7380,2,69,53103.72,0,7.406220732,14,1,1,0,1,0,1,0,124.993537,814.974232
1452,3006,3,77,75066.56,0,11.23380581,16,0,0,0,0,1,0,1,120.003499,942.2015895
1454,31607,3,26,61773.61,0,3.93506187,12,1,0,0,0,0,0,1,139.934918,1698.876321
1455,5098,3,30,53853.79,1,10.06689273,8,0,1,1,0,0,0,1,242.628057,1015.71304
1456,708,1,78,27235.84,1,6.681633242,13,1,0,1,0,0,0,0,127.473844,1696.133718
1457,253,1,73,11644.24,1,12.51404385,15,3,0,1,1,1,1,0,162.498151,1825.848805
1458,8660,0,39,33945.2,0,6.608008759,13,0,0,0,0,0,0,0,134.950905,633.9224183
1459,13680,0,39,13724.61,0,12.08833226,13,1,0,0,0,1,1,0,127.481989,468.2897271
1460,57800,0,72,26759.06,0,6.612802087,6,1,0,0,0,1,0,1,142.452604,1470.820856
1462,2688,0,34,71603.66,0,13.82562816,14,0,1,0,0,1,0,0,152.502178,1185.69317
1463,5342,4,27,34035.83,0,15.75142268,10,2,0,0,0,0,1,1,129.948316,1142.173902
1464,170,0,24,14048.99,1,6.773212666,9,1,0,1,0,0,0,1,207.609354,1061.749813
1465,42532,1,43,8721.22,0,9.594895726,15,4,0,0,1,1,0,1,184.985293,656.1054778
1466,15074,0,58,97057.93,0,11.34414273,13,0,1,0,0,0,1,0,114.983787,391.7847619
1467,10695,1,75,19696.86,1,8.052655017,5,1,0,0,0,1,0,1,222.649979,783.1189106
1469,13055,0,57,19254.52,1,15.09579419,17,0,0,0,0,1,1,1,152.466002,535.493169
1471,319,7,74,46946.24,0,7.531513534,14,0,0,0,0,1,1,1,154.961766,2356.021599
1472,5803,3,51,90956.64,0,2.737931836,13,0,0,0,1,0,1,1,162.500489,1526.656486
1474,1503,0,84,21808.87,1,10.46391733,14,1,0,0,0,0,0,1,222.628057,1176.40624
1475,2348,4,60,89037.69,1,5.771579921,7,1,0,0,0,1,0,1,222.649979,1556.108789
1478,8538,4,71,22183.52,1,15.26331077,15,2,1,0,0,0,0,0,149.984492,1488.81735
1479,9064,2,56,42197.88,1,8.849884542,13,1,0,0,0,0,0,1,200.132293,1304.571599
1480,6447,1,35,14953.78,1,13.83450553,9,0,0,1,0,0,0,1,200.132293,1341.595521
1481,1562,0,33,8888.06,1,10.35503587,15,1,0,0,1,1,0,0,217.483972,1123.503268
1482,1319,0,88,21816.78,1,8.974055518,11,0,0,0,0,0,0,1,129.962093,2214.953933
1483,6436,3,75,12622.46,0,9.291799333,13,1,0,0,0,0,0,0,92.5018,732.0802458
1484,601,0,34,49393.59,0,6.26674205,14,1,0,1,0,0,1,1,164.967019,1099.763014
1485,5062,0,89,21812.08,0,11.23258518,9,1,1,1,1,0,1,1,182.45383,1365.14372
1486,921,1,76,70607.91,0,9.046129393,18,3,0,0,0,0,0,1,230.105118,1108.349605
1487,79,1,69,55322.08,0,16.23771062,10,1,0,0,0,0,0,0,124.97808,986.7489919
1488,167,1,88,16307.08,1,15.54568189,13,1,1,0,1,0,0,0,182.443347,1248.345698
1489,9930,3,64,48413.98,0,13.47305526,14,0,0,0,0,0,0,0,149.937833,1637.132389
1490,995,3,65,62616.43,1,12.75213898,8,1,0,0,1,0,0,1,137.468388,704.224884
1492,130,1,69,30040.32,0,10.88292652,10,0,1,0,0,0,1,0,139.983006,1665.50808
1493,3734,4,81,24859.24,0,10.31760367,11,0,0,0,0,0,0,1,104.962874,484.8207127
1494,3480,1,79,69154.47,0,8.688254477,13,2,0,0,0,1,1,1,167.484705,1422.716519
1495,25077,4,64,77152.84,0,12.42061751,11,2,1,0,1,0,0,0,144.960655,1341.412763
1497,182,1,77,11290.67,1,13.48138957,11,0,1,0,1,1,1,1,187.46728,1243.061143
1498,21013,2,19,24897.26,1,9.523802161,11,1,0,0,0,0,1,1,232.641455,1111.571623
1499,636,0,60,9966.89,1,13.78001485,11,0,0,0,1,0,0,0,214.966286,1546.673637
1500,733,2,30,42991.1,0,10.11260574,16,1,0,0,1,0,0,1,204.963371,834.3144319
1501,1169,4,71,39432.05,0,7.102593738,11,2,0,0,1,0,1,0,169.992756,1688.039806
1502,520,1,31,25576.73,1,5.087255805,15,1,0,0,0,1,1,1,245.131966,1726.803854
1503,7842,7,74,48623.32,0,6.261594795,5,2,1,0,0,1,0,0,114.972827,717.4300821
1504,18875,2,64,19887.32,0,5.659084819,17,2,0,0,1,1,0,0,160.00128,1656.731409
1505,14433,2,47,30342.56,0,12.2679124,14,0,0,0,0,0,0,0,112.455141,1594.963149
1506,759,1,76,61714.39,0,2.746480274,15,2,2,0,0,0,0,0,79.978861,1943.112927
1507,380,1,74,44165.21,0,7.143133915,13,1,0,1,0,0,0,0,92.455141,913.9626257
1508,898,2,54,33735.54,0,6.373342678,10,0,2,0,1,0,0,0,144.960655,1157.286118
1509,2370,1,22,46078.58,0,10.23339712,16,1,0,0,1,1,0,1,152.462354,1323.979879
1510,1353,3,31,34179.49,0,8.925221032,14,1,0,1,1,1,1,0,175.02109,2138.939088
1511,382,3,80,22140.16,0,11.43541645,16,4,0,0,0,0,0,1,104.962874,445.4856462
1512,3171,0,67,34412.53,0,12.45079876,12,1,0,0,1,0,1,0,149.992756,2029.97992
1513,105,5,18,72563.64,1,9.492638901,15,0,1,0,1,0,0,1,240.114868,1363.832113
1514,1704,0,85,93561.74,1,7.94076683,12,1,0,1,0,0,1,0,182.446995,942.5247889
1515,5981,0,71,5902.12,1,8.501483623,10,2,0,0,1,0,1,1,232.62403,1386.523823
1516,231,1,70,22139.63,1,9.396558793,12,1,0,0,1,0,1,1,232.670689,1526.533644
1517,14630,3,29,21394.21,0,9.477521787,13,0,0,0,0,1,1,1,132.466002,1064.888301
1518,302,0,58,9336.88,0,9.171665689,12,0,0,0,1,1,1,0,229.993134,1025.864383
1519,6932,3,19,15694.8,0,7.423334085,16,1,0,0,0,0,1,0,147.460067,1561.767949
1520,3956,1,54,5984.94,1,16.72529341,8,1,0,1,0,0,0,1,117.439154,1257.52308
1521,188,2,68,37911.51,0,9.203214554,12,1,1,0,0,1,0,0,114.972827,253.7938252
1522,3208,4,40,52766.63,1,12.04554874,13,2,0,0,1,0,0,1,162.467607,1138.251038
1523,193,1,78,19826.08,1,7.61600943,13,0,0,0,0,0,0,1,139.981577,644.5909961
1525,2800,0,18,18426.49,0,14.39528085,10,1,1,1,0,0,0,0,112.455141,278.350323
1526,8381,0,58,47034.88,0,8.929622575,13,1,0,0,1,0,0,1,149.944668,1711.161405
1527,8774,2,33,33691.63,0,12.03362399,17,1,0,1,0,0,0,1,172.457857,1234.871994
1528,47493,3,57,39683.73,1,11.90156254,13,0,0,0,1,0,0,1,192.440432,1069.400199
1530,2382,1,79,10457.26,0,11.41399094,11,1,0,0,1,0,1,0,204.979684,1538.239707
1531,58129,3,57,8515.02,1,8.985947449,12,0,0,0,1,0,1,0,214.952509,1357.774068
1532,5492,1,72,7524.77,1,9.74065027,17,3,0,0,0,0,0,1,200.132293,1773.915003
1533,3224,3,58,44086.35,1,7.943538816,8,1,0,1,1,1,1,1,222.665436,1940.626426
1534,1104,3,44,28776.49,0,8.745070841,7,0,0,0,1,0,1,1,174.976769,1819.555319
1535,1331,1,45,42065.56,1,10.63592827,14,0,0,0,1,0,0,0,192.470522,693.1317301
1536,2112,0,58,23624.95,1,11.62131427,5,0,0,0,0,0,0,1,210.105118,1297.983536
1537,1491,0,22,29803.77,0,2.533696725,15,1,0,0,0,1,0,1,119.95684,988.3956919
1538,64,3,86,33394.07,0,10.80481174,10,3,0,0,0,1,1,0,197.48762,1162.715411
1539,27226,1,45,27294.82,0,8.111219363,14,2,0,0,0,0,0,0,112.455141,465.2586783
1540,2912,3,70,16232.47,0,10.09976546,10,0,1,1,1,1,0,1,184.985293,742.9131016
1541,958,1,61,11087.89,0,11.92666547,8,0,0,0,1,0,1,0,227.475448,560.8498056
1542,149,4,71,22173.37,0,8.049521055,11,1,0,0,1,1,0,0,160.00128,1324.200333
1543,357,1,38,28822.56,1,6.572112158,11,0,1,0,1,0,1,0,137.469817,718.7685676
1544,22840,1,35,20827.61,1,13.75238289,11,0,1,0,0,0,0,1,230.105118,895.2266874
1545,396,0,74,17982.42,1,7.637367057,9,1,0,0,0,1,0,1,129.976324,418.3354904
1546,11734,0,24,70493.36,1,6.658362671,18,1,0,0,1,1,1,0,175.02109,1926.295645
1547,18304,2,72,17236.27,0,3.849382458,16,2,1,0,1,1,0,1,194.958118,580.4609705
1548,18978,0,30,51266.47,1,8.913392702,11,1,0,0,0,0,0,1,207.609354,1612.238384
1549,87,0,40,7086.19,1,11.91525643,13,2,1,1,1,0,1,0,179.965581,1068.30748
1551,11910,2,56,24260.11,0,10.1263974,9,1,0,1,1,0,0,0,147.456419,1177.455135
1552,30689,0,28,26169.39,0,9.799122634,11,1,0,0,0,1,0,1,139.95684,628.7420412
1554,3231,0,46,59689.49,0,11.24745547,11,1,0,1,1,0,1,0,137.469817,1534.097093
1555,1851,2,47,28528.32,1,11.15167976,7,1,0,1,1,0,0,1,240.114868,1289.416735
1556,839,3,75,13389.11,0,10.3868905,11,0,0,0,1,0,0,1,172.487091,1380.893387
1557,877,1,19,14075.36,1,10.29101591,18,1,1,0,0,1,0,0,162.482694,1359.631961
1558,696,0,28,57821.02,0,9.20355866,15,2,0,0,0,1,0,1,139.95684,1116.314298
1559,9049,1,49,49781.85,0,10.58941533,13,1,0,0,1,0,0,0,112.484375,859.8649518
1560,8875,0,63,65095.99,0,15.40380196,16,0,0,0,1,0,1,0,157.469817,788.6164497
1561,1426,3,44,87367.88,1,6.172326327,17,0,0,0,1,1,0,1,257.651257,2113.787891
1562,40770,3,70,8253.96,1,8.983435185,11,0,0,0,0,1,0,1,142.499263,718.4643309
1563,12096,1,48,26404.76,0,11.41922534,8,0,0,0,0,1,0,0,152.455519,2764.347068
1564,396,1,36,73656.97,0,3.19378035,13,1,0,0,0,0,0,0,162.460772,1145.807042
1565,25537,1,70,36461.2,0,13.03421755,11,3,1,0,1,0,0,1,149.944668,1317.69652
1566,45487,1,75,49518.71,0,9.622553575,15,2,1,0,1,1,0,0,127.478341,1526.143641
1567,113,1,56,40189.23,1,10.90971891,13,1,0,1,0,0,0,1,187.656013,919.2556886
1568,779,4,34,10934.28,1,7.493478513,14,0,0,0,1,0,0,1,159.964152,1264.332813
1569,14606,4,45,16073.46,1,10.07234257,9,0,1,0,1,0,0,0,157.483594,1087.336893
1570,1541,3,30,21317.81,0,5.980381113,15,0,0,0,0,0,0,1,137.439154,996.4395858
1571,28727,4,44,14007.48,0,10.31682421,14,0,0,0,0,0,1,1,172.44408,1177.993259
1572,1907,0,34,52634.87,0,6.842059381,10,1,0,1,0,0,0,0,182.460772,723.0321035
1573,2276,2,20,18384.77,0,14.03130715,10,0,0,0,0,0,0,0,112.455141,629.4411174
1574,222,0,28,57881.2,0,8.051881131,16,1,2,1,0,0,1,0,114.983787,389.1228621
1576,2920,2,80,23041.14,1,8.911535445,13,0,0,0,0,1,0,1,200.146524,778.2707384
1578,32351,0,83,79304.79,1,10.22159613,13,3,0,0,1,0,1,1,242.643514,1507.329753
1579,15560,0,43,9088.08,1,6.335681954,14,1,0,0,1,0,0,1,242.657291,871.1409059
1581,727,4,69,23424.87,1,9.170276294,12,0,0,0,0,0,0,1,175.133074,1970.80666
1583,16243,3,75,80269.13,1,12.3404636,12,0,0,0,1,1,0,0,174.988208,2332.190421
1584,22202,5,46,13862.09,0,12.55644716,8,1,0,0,1,0,0,1,169.944668,966.6292325
1585,33103,5,23,23946.97,1,11.43130499,11,0,0,0,1,1,1,0,217.470195,1233.819233
1586,9611,4,67,14236.42,0,3.258152314,11,0,0,0,1,0,1,0,124.993537,351.7314539
1587,1319,0,75,79322.08,1,8.127926454,10,0,0,1,1,1,1,0,184.993915,819.3644961
1588,799,2,56,55160.57,0,12.6218555,12,1,1,0,1,1,0,1,172.462354,760.1061976
1589,4088,3,60,19676.77,1,2.737192144,11,0,0,0,1,0,0,1,242.657291,1043.299446
1590,87,1,63,37639.9,0,10.93132736,10,0,0,1,0,0,0,0,112.455141,667.4764252
1592,309,1,87,8543.01,1,14.08561195,11,0,0,0,1,1,0,0,194.988208,1204.745285
1593,1839,2,67,80127.15,0,7.583881177,16,0,0,0,0,1,1,1,152.466002,1630.52375
1594,1673,4,66,30976.34,1,3.500092565,11,1,0,0,1,1,0,0,182.465269,515.5449981
1595,4435,3,75,45412.84,0,11.07379392,14,2,0,0,0,0,0,1,172.457857,1090.460081
1596,1026,4,88,42526.92,1,10.6510171,18,0,1,0,0,1,0,0,139.979239,1465.984907
1597,1531,4,64,9041.08,0,8.877390965,5,1,2,0,1,0,1,1,194.976769,1018.373473
1598,15786,1,87,46714.82,0,10.64177468,9,1,2,0,0,1,0,0,117.468591,962.0380085
1599,29143,1,55,9703.25,0,6.863563999,12,2,0,1,1,0,0,0,144.960655,426.0222677
1600,15156,1,49,21409.33,0,10.89909265,11,1,0,0,1,0,1,0,137.469817,1737.873621
1601,34945,3,51,34722.76,1,9.013658897,12,0,1,0,0,0,0,0,182.460772,1039.74162
1602,110,7,45,24686.12,1,7.163430764,14,1,0,0,1,0,1,1,197.472533,1454.360571
1603,15529,3,75,4813.52,0,10.50347629,16,1,1,0,1,0,1,0,157.469817,306.0664281
1604,3759,0,83,30334.52,1,14.89095018,16,1,0,0,0,0,1,0,162.493654,636.8514545
1605,13568,4,43,15660.93,0,5.34790696,15,1,0,0,1,0,1,0,179.965581,1440.784345
1606,6709,1,82,47169.83,1,10.33803214,6,1,0,1,0,0,0,1,222.628057,1274.602374
1607,1352,1,48,73601.3,0,10.43623772,12,0,1,0,0,1,0,0,149.99153,749.2520943
1608,6900,3,72,15728.61,0,7.738684002,7,1,0,0,0,0,0,0,139.965008,1647.38223
1609,1170,2,79,20802.1,1,10.84469394,11,0,0,0,1,0,0,1,262.610632,1503.937766
1610,1061,0,29,18570.48,0,11.30937212,7,0,0,1,1,0,1,0,172.456745,901.8793581
1611,24494,0,23,61106.43,0,9.39206185,14,3,1,0,0,0,0,1,104.962874,691.4493988
1612,0,2,49,65891.79,1,5.259228749,10,1,0,0,1,1,0,1,245.128318,1608.852045
1613,4595,1,45,59532.0,1,12.54222267,12,0,0,0,0,1,0,1,212.622804,2867.22601
1614,21833,2,38,30756.94,0,5.149963811,13,0,0,1,0,1,0,0,184.978458,1265.78479
1615,1052,1,25,63134.48,0,12.73517485,15,1,1,0,0,0,0,1,137.439154,952.3729916
1616,208,0,42,18470.04,0,6.683151371,15,3,1,0,1,0,0,0,202.443347,2154.298838
1617,335,1,66,23711.3,1,17.11399723,12,2,0,0,1,0,1,1,255.119794,1435.783347
1618,861,3,51,16425.42,0,5.55213244,12,0,0,1,1,1,1,0,152.510442,1784.584135
1619,1817,2,75,25044.85,1,9.368606843,14,0,1,0,0,0,0,1,242.628057,785.5416603
1620,1098,3,35,46120.62,1,11.33498823,12,1,1,0,0,0,0,1,220.132293,1014.075999
1621,2596,2,47,80667.11,0,8.78020639,12,1,1,0,1,0,1,0,160.01224,1331.25339
1622,15722,3,39,14970.89,0,14.75151191,12,0,0,0,1,1,0,0,149.974105,2283.190011
1624,2521,1,58,13157.91,1,10.58651971,15,0,1,0,0,0,1,0,162.493654,1385.152156
1625,102,5,71,82960.42,0,9.885701354,5,0,1,1,0,1,1,0,95.005709,618.4967851
1627,2041,2,43,3949.33,0,13.98169147,12,0,0,1,0,1,0,0,82.496547,631.4316327
1628,23117,1,41,20881.22,0,6.312280543,12,0,1,0,1,1,0,1,172.462354,933.4257317
1629,1295,2,29,9514.35,0,6.977990294,12,0,0,0,0,0,1,0,127.474951,772.3133729
1630,681,0,77,26268.58,0,9.903990927,12,0,1,0,0,1,1,1,167.484705,1828.057047
1631,1152,2,52,21000.61,1,8.901128259,16,1,0,0,1,1,1,1,184.971516,1123.759368
1632,38443,1,82,45664.79,1,11.53924648,14,1,0,1,0,1,0,0,172.455519,464.4748418
1635,5100,1,42,27380.15,1,12.84779981,12,2,1,0,0,0,1,1,200.165175,2692.885423
1636,1612,0,67,78177.94,0,12.15570061,11,1,0,0,1,0,0,1,184.963371,2217.734847
1637,2246,1,28,79775.67,1,8.730183974,16,3,0,0,0,0,1,0,127.460067,1262.531104
1638,468,1,40,100437.39,0,13.47526316,9,2,0,0,0,0,0,1,137.439154,1919.490397
1639,13970,1,75,9267.97,0,13.55747919,8,0,0,0,1,0,0,1,232.637807,1970.26742
1640,591,4,72,47502.66,1,11.73060772,12,0,1,0,0,1,1,1,202.636202,1279.856552
1641,1402,1,73,94903.08,0,9.927146707,15,1,0,0,1,0,1,0,157.469817,1299.5973
1642,35457,2,59,83382.41,0,15.04128691,14,2,0,0,0,0,0,0,182.460772,781.9302227
1643,570,3,73,11464.33,1,9.142773531,17,1,0,1,0,1,1,1,215.159141,2056.185889
1644,2564,2,41,52050.69,1,11.79444395,16,1,0,0,1,0,0,1,275.133571,1615.418802
1645,8208,4,88,29720.95,0,14.03281402,11,0,0,0,0,1,0,1,142.499263,840.5098283
1646,1012,0,35,30106.96,0,8.653938933,7,0,0,0,1,0,0,1,204.963371,2118.488416
1647,217,0,18,61967.75,0,12.35416052,10,0,0,0,1,0,1,0,214.952509,1328.734281
1648,825,1,63,18571.0,0,8.044259405,11,2,1,0,1,0,0,1,204.963371,782.9998382
1651,24529,1,86,11999.43,0,8.301200914,17,0,0,0,1,0,1,0,172.503404,1136.55652
1652,540,2,20,30088.13,1,11.71398312,11,0,1,0,1,0,0,1,192.440432,933.8036457
1653,30576,1,76,34415.0,1,10.9085806,9,1,0,0,0,0,1,1,210.138,673.9015902
1654,2270,2,29,82080.92,1,10.04784815,13,2,0,0,0,0,0,1,200.132293,2271.84102
1655,3192,1,23,102905.68,0,8.034185681,15,0,1,0,0,0,0,0,124.97808,316.7739538
1656,14534,2,55,16337.64,1,2.292587755,19,0,0,0,1,1,0,0,184.961033,1088.89675
1657,22925,2,57,6959.92,0,13.03933816,14,0,1,0,1,0,0,0,112.484375,640.9334119
1659,481,1,56,35504.27,0,9.588349767,12,1,0,0,0,0,0,0,114.950905,1420.927135
1660,2145,4,83,1277.42,0,9.96958238,15,0,0,0,0,1,1,0,152.488401,1312.700259
1661,11239,0,39,15045.78,1,7.560275883,14,1,1,0,0,0,0,1,230.105118,1632.365102
1662,494,4,52,78085.72,1,7.372127002,13,0,0,0,0,0,0,0,127.473844,913.9152886
1663,19522,0,35,44287.84,0,9.032429129,13,3,2,0,1,1,0,1,194.958118,2273.781965
1664,27726,1,54,44057.85,0,6.666141762,13,1,0,0,0,0,0,1,242.628057,1185.892988
1665,1665,2,49,25048.77,1,12.2507651,13,0,0,0,0,0,1,1,242.61428,1890.640168
1666,26659,0,87,56537.88,1,11.51744058,11,2,1,0,0,0,0,0,127.442069,1659.769248
1667,20,0,20,21058.64,0,12.92843595,11,0,0,0,1,0,0,0,147.503078,1143.017435
1668,608,5,88,63304.25,0,12.35525457,12,1,0,1,1,0,0,1,149.991327,855.939459
