Zip,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
14476,86,Female,No,Month-to-Month,Yes,21,215.0,188.0
63447,35,Female,No,Two Year,Yes,16,127.4,164.0
46076,23,Female,Yes,Month-to-Month,No,8,137.5,83.0
59411,75,Female,No,Two Year,Yes,6,125.0,32.0
95699,24,Female,Yes,Month-to-Month,No,11,130.0,108.0
60957,34,Male,No,Month-to-Month,Yes,2,162.5,42.0
95431,63,Female,No,Two Year,Yes,20,172.5,175.0
95984,50,Male,Yes,Month-to-Month,No,8,182.5,98.0
62281,46,Female,No,One year,No,7,127.5,74.0
24083,46,Female,No,Two Year,Yes,5,187.5,84.0
47381,24,Female,No,Month-to-Month,Yes,10,160.0,92.0
75939,32,Female,Yes,Month-to-Month,Yes,5,182.5,82.0
83323,57,Male,No,One year,Yes,13,112.5,98.0
75090,50,Female,Yes,Month-to-Month,Yes,3,137.4,46.0
50118,49,Female,No,Two Year,Yes,2,147.5,25.0
28107,69,Female,No,One year,Yes,9,125.0,68.0
12015,77,Male,No,Month-to-Month,Yes,7,120.0,79.0
15035,30,Female,No,Month-to-Month,No,10,147.5,115.0
43614,26,Female,No,One year,Yes,10,139.9,142.0
39654,30,Male,Yes,One year,No,2,242.6,85.0
61442,78,Female,Yes,Month-to-Month,No,14,127.5,141.0
52359,73,Female,Yes,Month-to-Month,Yes,19,162.5,152.0
17842,39,Female,No,One year,Yes,6,135.0,53.0
25405,39,Male,No,Month-to-Month,Yes,3,127.5,39.0
60411,72,Female,No,Month-to-Month,Yes,9,142.5,123.0
41046,37,Male,No,Month-to-Month,Yes,4,160.0,111.0
95485,34,Female,No,Two Year,No,9,152.5,99.0
6423,27,Male,No,One year,Yes,4,129.9,95.0
71339,24,Female,Yes,Month-to-Month,Yes,6,207.6,88.0
47909,43,Female,No,Month-to-Month,No,2,185.0,55.0
6268,75,Female,Yes,Month-to-Month,No,3,222.6,65.0
51535,33,Male,No,Two Year,Yes,12,142.5,144.0
99006,57,Male,Yes,Month-to-Month,Yes,3,152.5,45.0
27263,78,Female,Yes,Month-to-Month,Yes,1,227.5,56.0
26148,74,Female,No,Month-to-Month,Yes,18,155.0,196.0
47220,51,Female,No,Month-to-Month,Yes,13,162.5,127.0
77098,32,Female,Yes,Month-to-Month,Yes,10,192.5,105.0
61070,84,Male,Yes,One year,Yes,2,222.6,98.0
4988,60,Female,Yes,Month-to-Month,No,10,222.6,130.0
70339,20,Female,No,One year,Yes,16,190.2,171.0
72478,38,Male,No,One year,Yes,1,127.5,34.0
30814,71,Male,Yes,Month-to-Month,Yes,12,150.0,124.0
63334,56,Female,Yes,Month-to-Month,No,4,200.1,109.0
73662,35,Female,Yes,Two Year,Yes,4,200.1,112.0
72865,33,Female,Yes,Month-to-Month,Yes,7,217.5,94.0
26623,88,Female,Yes,Month-to-Month,No,20,130.0,185.0
70084,75,Female,No,One year,Yes,8,92.5,61.0
99742,34,Female,No,Two Year,Yes,3,165.0,92.0
18610,89,Male,No,One year,Yes,14,182.5,114.0
76484,76,Female,No,Two Year,Yes,8,230.1,92.0
66955,69,Female,No,One year,Yes,11,125.0,82.0
49628,88,Female,Yes,Month-to-Month,No,7,182.4,104.0
19806,64,Female,No,Month-to-Month,Yes,11,149.9,136.0
41636,65,Male,Yes,Month-to-Month,No,4,137.5,59.0
16871,51,Male,Yes,Month-to-Month,Yes,3,162.5,100.0
77867,69,Male,No,Month-to-Month,Yes,12,140.0,139.0
13084,81,Male,No,One year,No,3,105.0,40.0
78655,79,Female,No,Two Year,Yes,8,167.5,119.0
15101,64,Female,No,One year,Yes,15,145.0,112.0
95004,58,Female,No,Month-to-Month,Yes,30,150.0,223.0
18413,77,Female,Yes,Two Year,No,5,187.5,104.0
8619,19,Female,Yes,Month-to-Month,No,5,232.6,93.0
5744,60,Male,Yes,Month-to-Month,Yes,13,215.0,129.0
12480,30,Male,No,Two Year,Yes,3,205.0,70.0
68924,71,Female,No,Month-to-Month,Yes,18,170.0,141.0
85545,31,Male,Yes,One year,Yes,12,245.1,144.0
30742,74,Female,No,Two Year,No,6,115.0,60.0
91723,64,Male,No,Two Year,No,16,160.0,138.0
32656,47,Male,No,Month-to-Month,Yes,18,112.5,133.0
83217,76,Male,No,One year,Yes,23,80.0,162.0
59031,74,Female,No,Two Year,Yes,7,92.5,76.0
36768,54,Male,No,Two Year,Yes,12,145.0,96.0
45306,22,Male,No,Two Year,Yes,5,152.5,110.0
3836,31,Female,No,Month-to-Month,No,19,175.0,178.0
83414,80,Male,No,Month-to-Month,Yes,3,105.0,37.0
65606,67,Male,No,Month-to-Month,Yes,17,150.0,169.0
13751,18,Female,Yes,Month-to-Month,No,7,240.1,114.0
35548,85,Female,Yes,Month-to-Month,No,10,182.4,79.0
65653,71,Male,Yes,Two Year,Yes,6,232.6,116.0
18817,70,Female,Yes,Month-to-Month,No,12,232.7,127.0
32615,29,Male,No,One year,No,2,132.5,89.0
5833,58,Female,No,Month-to-Month,No,7,230.0,85.0
6370,19,Female,No,Month-to-Month,Yes,16,147.5,130.0
95004,54,Male,Yes,Two Year,No,7,117.4,105.0
35745,68,Male,No,One year,Yes,1,115.0,21.0
47032,40,Female,Yes,One year,No,3,162.5,95.0
72329,78,Female,Yes,Month-to-Month,Yes,4,140.0,54.0
56236,67,Female,Yes,Month-to-Month,Yes,2,192.5,42.0
14034,18,Female,No,One year,No,2,112.5,23.0
23024,58,Female,No,Month-to-Month,No,13,149.9,143.0
81122,33,Female,No,One year,No,9,172.5,103.0
29651,57,Female,Yes,Month-to-Month,Yes,8,192.4,89.0
71826,61,Male,No,One year,No,17,240.1,161.0
79064,79,Female,No,Two Year,No,16,205.0,128.0
33177,57,Female,Yes,Two Year,Yes,12,215.0,113.0
74937,72,Female,Yes,One year,No,11,200.1,148.0
28701,58,Male,Yes,Month-to-Month,Yes,15,222.7,162.0
16695,44,Female,No,Two Year,No,11,175.0,152.0
87053,45,Female,Yes,Month-to-Month,No,4,192.5,58.0
18656,58,Male,Yes,Month-to-Month,No,4,210.1,108.0
50621,22,Male,No,Two Year,Yes,2,120.0,82.0
52557,86,Male,No,One year,No,8,197.5,97.0
70663,45,Female,No,Two Year,Yes,5,112.5,39.0
98340,70,Female,No,Two Year,No,4,185.0,62.0
47955,61,Female,No,Month-to-Month,No,2,227.5,47.0
51550,71,Male,No,Two Year,No,12,160.0,110.0
25634,38,Female,Yes,Month-to-Month,No,2,137.5,60.0
46321,35,Male,Yes,One year,Yes,3,230.1,75.0
18912,74,Female,Yes,Month-to-Month,No,2,130.0,35.0
2093,24,Male,Yes,Month-to-Month,No,17,175.0,161.0
2359,72,Female,No,Two Year,No,2,195.0,48.0
50703,30,Male,Yes,Month-to-Month,No,13,207.6,134.0
58641,40,Female,Yes,Month-to-Month,Yes,11,180.0,89.0
45328,43,Female,No,One year,Yes,20,215.0,197.0
17241,56,Male,No,Two Year,Yes,6,147.5,98.0
23116,28,Male,No,One year,Yes,3,140.0,52.0
78582,44,Female,Yes,Month-to-Month,No,1,192.4,52.0
7933,46,Female,No,Two Year,No,13,137.5,128.0
95245,47,Female,Yes,Month-to-Month,Yes,8,240.1,107.0
99770,75,Female,No,Two Year,Yes,11,172.5,115.0
61602,19,Male,Yes,Month-to-Month,No,10,162.5,113.0
94567,28,Male,No,Month-to-Month,No,9,140.0,93.0
8810,49,Male,No,Two Year,Yes,8,112.5,72.0
31411,63,Female,No,Two Year,No,9,157.5,66.0
50251,44,Male,Yes,Month-to-Month,No,9,257.7,176.0
72758,70,Male,Yes,Month-to-Month,Yes,2,142.5,60.0
21047,48,Male,No,Month-to-Month,No,23,152.5,230.0
66933,36,Male,No,Month-to-Month,Yes,3,162.5,95.0
82801,70,Female,No,Two Year,No,8,149.9,110.0
49423,75,Male,No,Month-to-Month,No,11,127.5,127.0
21824,56,Male,Yes,Month-to-Month,No,4,187.7,77.0
36749,34,Female,Yes,Month-to-Month,No,9,160.0,105.0
30107,45,Male,Yes,Month-to-Month,Yes,9,157.5,91.0
54424,30,Female,No,Month-to-Month,Yes,8,137.4,83.0
98029,44,Female,No,Month-to-Month,Yes,9,172.4,98.0
56511,34,Male,No,Two Year,Yes,3,182.5,60.0
53516,20,Female,No,Two Year,No,6,112.5,52.0
61452,28,Female,No,Two Year,Yes,3,115.0,32.0
61751,35,Female,No,Two Year,Yes,17,162.5,202.0
76129,80,Female,Yes,Month-to-Month,Yes,2,200.1,65.0
63011,53,Male,Yes,Two Year,Yes,4,252.6,104.0
85704,83,Male,Yes,One year,No,12,242.6,126.0
41048,43,Female,Yes,One year,Yes,2,242.7,73.0
720,25,Male,No,Month-to-Month,Yes,11,105.0,106.0
71825,69,Female,Yes,Month-to-Month,Yes,18,175.1,164.0
79718,32,Female,Yes,Month-to-Month,No,13,162.5,169.0
79360,75,Female,Yes,Month-to-Month,No,19,175.0,194.0
60490,46,Male,No,Month-to-Month,Yes,6,169.9,81.0
80122,23,Female,Yes,Month-to-Month,Yes,7,217.5,103.0
44117,67,Female,No,Month-to-Month,Yes,3,125.0,29.0
46346,75,Male,Yes,Month-to-Month,No,5,185.0,68.0
49094,60,Male,Yes,One year,No,3,242.7,87.0
40808,63,Female,No,One year,No,8,112.5,56.0
41317,32,Male,No,Month-to-Month,No,7,127.4,109.0
4478,87,Female,Yes,Month-to-Month,Yes,11,195.0,100.0
61047,67,Female,No,Two Year,Yes,17,152.5,136.0
4986,66,Female,Yes,Month-to-Month,Yes,2,182.5,43.0
80951,75,Female,No,One year,Yes,9,172.5,91.0
87732,64,Male,No,Two Year,No,7,195.0,85.0
2726,87,Female,No,Two Year,Yes,6,117.5,80.0
68164,55,Male,No,Month-to-Month,Yes,3,145.0,36.0
73108,49,Female,No,Month-to-Month,No,15,137.5,145.0
28792,51,Female,Yes,Month-to-Month,Yes,8,182.5,87.0
76887,45,Male,Yes,Month-to-Month,Yes,4,197.5,121.0
73801,75,Female,No,Month-to-Month,No,3,157.5,26.0
93675,83,Male,Yes,Two Year,Yes,4,162.5,53.0
7204,43,Female,No,Month-to-Month,Yes,14,180.0,120.0
71232,82,Female,Yes,Two Year,Yes,4,222.6,106.0
51027,48,Female,No,Two Year,Yes,6,150.0,62.0
6016,72,Male,No,One year,Yes,11,140.0,137.0
58060,79,Female,Yes,One year,Yes,11,262.6,125.0
99840,29,Female,No,One year,No,2,172.5,75.0
90740,23,Male,No,Month-to-Month,No,4,105.0,58.0
41848,49,Male,Yes,Month-to-Month,No,5,245.1,134.0
85539,45,Male,Yes,Month-to-Month,Yes,21,212.6,239.0
60008,38,Female,No,One year,Yes,9,185.0,105.0
67437,25,Male,No,One year,Yes,7,137.4,79.0
70580,42,Male,No,One year,Yes,21,202.4,180.0
45428,66,Female,Yes,Two Year,Yes,5,255.1,120.0
29743,51,Male,No,Two Year,Yes,12,152.5,149.0
78055,75,Male,Yes,Month-to-Month,Yes,2,242.6,65.0
64670,35,Male,Yes,Month-to-Month,Yes,4,220.1,85.0
28450,47,Male,No,Two Year,Yes,11,160.0,111.0
17070,39,Female,No,One year,Yes,18,150.0,190.0
78586,71,Female,No,Two Year,Yes,3,230.1,87.0
51039,58,Male,Yes,Month-to-Month,Yes,12,162.5,115.0
89017,71,Male,No,Month-to-Month,No,5,95.0,52.0
24563,24,Male,No,Two Year,No,12,197.5,171.0
44450,43,Female,No,Month-to-Month,Yes,6,82.5,53.0
55929,29,Male,No,Month-to-Month,No,5,127.5,64.0
95007,77,Male,No,Two Year,No,12,167.5,152.0
68418,52,Male,Yes,Month-to-Month,No,8,185.0,94.0
7712,82,Male,Yes,Month-to-Month,Yes,2,172.5,39.0
81121,84,Female,Yes,Two Year,Yes,2,202.6,118.0
71110,66,Male,No,Two Year,Yes,12,149.9,96.0
95446,42,Female,Yes,Month-to-Month,Yes,26,200.2,224.0
47380,67,Male,No,Two Year,No,17,185.0,185.0
52076,28,Male,Yes,Month-to-Month,No,7,127.5,105.0
57330,40,Female,No,Month-to-Month,No,20,137.4,160.0
1778,75,Female,No,Two Year,No,12,232.6,164.0
50560,72,Female,Yes,One year,No,3,202.6,107.0
54422,73,Male,No,Two Year,Yes,15,157.5,108.0
31406,59,Female,No,Two Year,Yes,5,182.5,65.0
59069,73,Female,Yes,One year,Yes,12,215.2,171.0
15510,41,Female,Yes,Two Year,Yes,10,275.1,135.0
13152,88,Male,No,One year,Yes,4,142.5,70.0
61039,35,Male,No,One year,Yes,19,205.0,177.0
86411,18,Male,No,Two Year,No,10,215.0,111.0
95960,63,Female,No,One year,Yes,4,205.0,65.0
71404,82,Male,Yes,Month-to-Month,Yes,5,220.1,128.0
7885,66,Female,Yes,Month-to-Month,No,7,170.0,65.0
60559,86,Female,No,Two Year,No,11,172.5,95.0
72392,20,Male,Yes,Month-to-Month,Yes,5,192.4,78.0
60525,76,Female,Yes,Two Year,Yes,2,210.1,56.0
15333,29,Female,Yes,Month-to-Month,No,15,200.1,189.0
5068,23,Female,No,Two Year,No,1,125.0,26.0
6120,55,Male,Yes,Two Year,No,2,185.0,91.0
46158,57,Female,No,Month-to-Month,Yes,7,112.5,53.0
62326,30,Female,No,Two Year,Yes,18,162.5,154.0
15951,56,Female,No,Two Year,No,11,115.0,118.0
80467,83,Female,No,Month-to-Month,No,12,152.5,109.0
98823,39,Male,Yes,One year,Yes,12,230.1,136.0
62027,52,Female,Yes,Month-to-Month,Yes,3,127.5,76.0
34473,35,Female,No,Month-to-Month,No,22,195.0,189.0
10039,54,Female,No,One year,No,7,242.6,99.0
44455,49,Male,Yes,Month-to-Month,Yes,15,242.6,158.0
44310,87,Male,Yes,Month-to-Month,No,14,127.4,138.0
55111,20,Male,No,Two Year,Yes,9,147.5,95.0
74560,88,Male,No,One year,Yes,5,150.0,71.0
23922,38,Male,No,Month-to-Month,Yes,4,130.0,65.0
76852,43,Female,No,Two Year,No,12,175.0,133.0
90670,44,Female,Yes,Month-to-Month,Yes,3,152.5,54.0
23313,70,Male,Yes,Month-to-Month,No,7,195.0,81.0
21678,49,Male,No,Month-to-Month,Yes,9,147.4,87.0
97117,72,Female,Yes,One year,Yes,8,275.1,115.0
84642,41,Male,Yes,Month-to-Month,Yes,1,162.5,44.0
30531,54,Female,No,Two Year,No,7,162.5,107.0
62230,49,Female,No,One year,No,7,180.0,59.0
99634,77,Female,No,Month-to-Month,Yes,16,182.4,129.0
47874,35,Male,Yes,Month-to-Month,Yes,13,245.1,158.0
53103,34,Female,Yes,Two Year,Yes,12,232.7,166.0
17878,43,Female,Yes,Month-to-Month,Yes,11,245.1,173.0
80246,59,Male,Yes,Month-to-Month,No,15,277.7,176.0
54565,58,Male,No,Two Year,Yes,7,142.5,113.0
17307,75,Male,Yes,Month-to-Month,No,6,152.5,109.0
34488,63,Female,Yes,Month-to-Month,Yes,7,267.7,110.0
59474,57,Female,Yes,One year,Yes,7,227.5,83.0
27606,63,Male,Yes,Month-to-Month,No,1,147.4,26.0
71201,42,Female,Yes,Month-to-Month,Yes,7,149.9,105.0
60074,37,Female,Yes,Month-to-Month,Yes,8,220.1,118.0
70747,60,Male,No,Month-to-Month,Yes,21,140.0,204.0
64037,38,Male,Yes,Month-to-Month,No,9,140.0,105.0
59648,85,Female,No,Two Year,Yes,9,145.0,76.0
53576,18,Male,No,Month-to-Month,No,6,150.0,78.0
99786,37,Female,Yes,Month-to-Month,Yes,3,195.0,51.0
37818,37,Male,Yes,Month-to-Month,No,11,165.0,157.0
32506,74,Female,No,One year,Yes,12,152.5,137.0
12922,76,Male,No,Month-to-Month,Yes,15,127.5,136.0
93630,62,Female,No,One year,Yes,14,172.5,157.0
49788,42,Male,Yes,Month-to-Month,Yes,5,195.0,75.0
56354,81,Female,No,One year,Yes,3,125.0,25.0
99147,80,Male,Yes,Two Year,Yes,7,242.6,140.0
59087,50,Male,Yes,Month-to-Month,Yes,10,200.0,151.0
13361,21,Female,Yes,Month-to-Month,No,16,185.0,156.0
68055,41,Male,No,One year,Yes,2,147.4,37.0
79781,71,Male,Yes,Month-to-Month,No,2,255.1,72.0
79546,45,Female,Yes,Month-to-Month,Yes,17,159.9,177.0
62246,46,Male,Yes,Month-to-Month,No,20,210.1,228.0
41007,58,Male,No,Two Year,Yes,8,165.0,118.0
61924,87,Male,No,Month-to-Month,Yes,4,127.5,34.0
72068,18,Female,Yes,Month-to-Month,Yes,11,152.5,112.0
63120,50,Male,Yes,Month-to-Month,Yes,8,169.9,83.0
29651,31,Male,Yes,Month-to-Month,No,2,140.0,58.0
61539,27,Female,No,Two Year,Yes,9,182.5,106.0
41264,44,Female,Yes,Two Year,Yes,10,202.4,100.0
73716,45,Male,Yes,Two Year,No,6,232.6,134.0
78712,33,Male,No,One year,No,3,135.0,46.0
45146,36,Male,No,Month-to-Month,No,11,155.0,152.0
50067,47,Female,No,Month-to-Month,No,8,182.5,92.0
26376,56,Male,No,Month-to-Month,Yes,2,205.0,51.0
52327,81,Male,Yes,Month-to-Month,Yes,3,220.2,70.0
3101,26,Female,Yes,One year,Yes,3,222.7,85.0
17219,33,Male,No,One year,Yes,23,155.0,246.0
75693,47,Male,No,One year,Yes,6,127.4,98.0
16849,61,Male,Yes,Month-to-Month,Yes,7,142.5,117.0
54017,80,Female,No,One year,No,14,150.0,111.0
2462,75,Male,No,Two Year,Yes,24,195.0,202.0
16650,78,Female,Yes,Month-to-Month,Yes,6,155.0,95.0
55959,75,Female,Yes,Month-to-Month,No,9,150.0,82.0
66085,58,Male,Yes,Two Year,No,10,245.1,160.0
27882,46,Female,No,One year,No,20,182.5,160.0
1760,28,Male,No,Month-to-Month,No,2,145.0,40.0
98847,43,Female,Yes,Month-to-Month,Yes,8,220.2,110.0
55780,66,Female,No,One year,No,2,172.5,75.0
8323,84,Male,Yes,Month-to-Month,No,14,255.1,180.0
63532,69,Female,No,Two Year,Yes,4,92.5,60.0
67056,20,Male,Yes,Month-to-Month,No,15,107.5,144.0
63463,35,Male,Yes,One year,Yes,17,235.2,183.0
37338,88,Male,Yes,Month-to-Month,Yes,8,252.6,101.0
58233,71,Female,Yes,Month-to-Month,Yes,8,152.5,114.0
33907,86,Male,Yes,One year,Yes,8,162.5,122.0
16059,24,Female,No,Two Year,No,14,92.5,146.0
21916,76,Female,No,One year,No,8,160.0,74.0
52627,33,Male,No,One year,No,25,205.0,227.0
75633,79,Female,No,One year,Yes,13,190.2,134.0
48178,76,Female,Yes,Month-to-Month,Yes,6,175.0,72.0
67482,24,Male,Yes,Two Year,No,15,242.7,173.0
62473,77,Female,Yes,Month-to-Month,No,9,202.6,134.0
69219,62,Male,Yes,Month-to-Month,No,7,187.6,88.0
43821,21,Female,Yes,Month-to-Month,Yes,3,290.2,96.0
44659,39,Male,No,Two Year,Yes,14,165.0,178.0
68531,23,Male,No,Two Year,No,16,195.0,163.0
54474,87,Female,Yes,Month-to-Month,No,8,242.6,137.0
40060,27,Male,No,One year,No,7,125.0,60.0
87034,60,Female,Yes,One year,No,8,222.7,103.0
97071,80,Female,Yes,Month-to-Month,Yes,5,137.5,58.0
25810,56,Male,Yes,Two Year,Yes,2,232.6,64.0
6473,20,Male,Yes,Month-to-Month,No,4,155.0,107.0
14559,39,Male,Yes,Month-to-Month,Yes,11,195.0,158.0
45322,30,Male,No,One year,Yes,18,232.6,192.0
76209,47,Male,Yes,One year,Yes,1,257.7,85.0
38901,35,Female,No,Two Year,Yes,14,162.5,143.0
21783,76,Female,Yes,Month-to-Month,No,1,185.0,73.0
12184,70,Male,Yes,Month-to-Month,Yes,17,172.5,149.0
19440,44,Female,No,Month-to-Month,Yes,3,112.5,20.0
76870,73,Female,No,Month-to-Month,Yes,15,150.0,125.0
61370,72,Female,No,Month-to-Month,Yes,3,162.5,32.0
98012,42,Female,Yes,Month-to-Month,Yes,5,127.5,89.0
28643,58,Female,Yes,Month-to-Month,Yes,7,127.5,71.0
81220,68,Male,Yes,Month-to-Month,Yes,3,240.1,64.0
93461,19,Female,No,One year,Yes,6,162.5,102.0
36608,79,Male,No,One year,Yes,10,185.0,100.0
11208,54,Female,Yes,One year,Yes,15,242.6,165.0
78566,19,Male,Yes,One year,No,22,232.6,246.0
39737,46,Female,No,One year,Yes,5,150.0,59.0
98311,85,Male,Yes,Month-to-Month,No,24,202.6,242.0
32683,64,Female,Yes,One year,Yes,11,287.6,131.0
55328,21,Female,No,One year,Yes,9,145.0,81.0
55405,18,Female,No,Two Year,Yes,4,130.0,103.0
76227,83,Female,No,One year,Yes,3,117.5,40.0
29842,33,Male,Yes,Month-to-Month,Yes,6,152.5,105.0
98115,58,Male,Yes,Month-to-Month,Yes,18,230.1,176.0
23897,24,Female,Yes,One year,Yes,7,232.7,111.0
38821,88,Female,No,Two Year,Yes,6,125.0,32.0
43720,40,Female,Yes,Month-to-Month,Yes,2,247.7,112.0
30184,26,Female,Yes,Month-to-Month,Yes,3,160.0,42.0
57042,70,Female,Yes,Month-to-Month,Yes,7,207.6,87.0
83646,21,Female,Yes,Month-to-Month,Yes,3,247.7,122.0
79347,75,Male,Yes,Month-to-Month,Yes,2,207.5,81.0
92823,67,Male,Yes,Month-to-Month,Yes,2,230.1,58.0
47992,29,Male,No,Two Year,Yes,8,177.5,143.0
32757,26,Male,No,Two Year,No,22,155.0,234.0
2357,38,Female,Yes,Two Year,No,14,235.1,197.0
27701,20,Male,No,Two Year,No,16,92.5,180.0
55329,60,Female,No,One year,Yes,23,162.5,216.0
23063,65,Male,Yes,Month-to-Month,Yes,9,207.6,103.0
49670,79,Male,Yes,Month-to-Month,Yes,8,242.6,143.0
5766,68,Female,No,Month-to-Month,No,3,107.5,58.0
17841,29,Female,Yes,One year,Yes,10,150.0,109.0
39206,87,Female,No,Month-to-Month,Yes,12,147.5,93.0
32564,34,Male,Yes,Month-to-Month,No,8,152.5,125.0
29152,22,Female,No,Month-to-Month,Yes,9,180.0,82.0
4496,20,Female,Yes,One year,Yes,7,220.1,111.0
78355,33,Male,No,One year,No,3,205.0,58.0
74054,75,Female,Yes,One year,Yes,8,255.2,109.0
13493,86,Male,No,One year,Yes,2,150.0,44.0
97426,68,Male,Yes,One year,No,2,179.9,34.0
46236,60,Female,No,One year,Yes,10,117.5,83.0
82440,25,Male,No,One year,Yes,13,220.2,148.0
98012,39,Male,No,Month-to-Month,Yes,10,152.5,130.0
73004,27,Male,No,Month-to-Month,Yes,15,157.5,129.0
94060,25,Female,No,Two Year,No,7,135.0,66.0
29431,44,Male,No,Month-to-Month,No,10,102.5,87.0
26624,65,Male,Yes,Month-to-Month,Yes,3,137.5,71.0
77901,48,Female,No,One year,Yes,13,170.0,111.0
61328,39,Female,No,Two Year,Yes,10,107.5,92.0
53034,55,Female,No,Month-to-Month,Yes,15,125.0,102.0
99757,71,Female,No,One year,No,13,115.0,96.0
27962,44,Female,Yes,One year,No,4,129.9,87.0
14620,35,Male,Yes,Two Year,Yes,1,205.0,55.0
37363,40,Male,Yes,Month-to-Month,No,12,200.2,143.0
3816,34,Female,Yes,Two Year,Yes,7,262.6,101.0
45309,35,Female,Yes,Two Year,No,6,262.6,104.0
4922,59,Male,Yes,Month-to-Month,No,4,220.1,80.0
54618,73,Female,Yes,Month-to-Month,Yes,7,242.6,99.0
50635,88,Male,Yes,Month-to-Month,Yes,12,192.4,114.0
14614,34,Female,No,Month-to-Month,Yes,13,192.5,117.0
13155,67,Male,No,One year,Yes,2,160.0,38.0
48504,51,Male,No,One year,Yes,4,92.5,67.0
76486,26,Male,No,Two Year,Yes,16,150.0,187.0
27371,45,Male,No,Two Year,Yes,11,222.6,136.0
94118,52,Male,Yes,Month-to-Month,No,5,265.1,97.0
34685,25,Male,Yes,Month-to-Month,Yes,18,195.0,162.0
95425,60,Male,No,Month-to-Month,Yes,18,140.0,151.0
22003,83,Male,No,Month-to-Month,Yes,6,95.0,73.0
8808,25,Male,No,One year,Yes,2,130.0,55.0
65570,58,Male,No,Month-to-Month,Yes,12,92.5,138.0
46062,64,Male,No,Month-to-Month,Yes,11,120.0,129.0
1467,74,Male,No,Two Year,Yes,10,112.5,72.0
30457,27,Male,Yes,Month-to-Month,No,17,187.7,181.0
17868,51,Female,No,Two Year,Yes,7,162.5,79.0
91768,59,Female,Yes,Month-to-Month,No,14,147.4,108.0
77988,78,Male,Yes,Month-to-Month,Yes,1,205.0,42.0
89442,36,Female,No,Month-to-Month,No,12,157.5,101.0
7202,84,Male,Yes,Month-to-Month,Yes,7,190.1,124.0
11716,42,Male,No,One year,Yes,1,205.0,47.0
69037,75,Female,No,One year,Yes,11,160.0,83.0
54874,39,Male,Yes,One year,Yes,10,187.6,111.0
13696,57,Female,No,Month-to-Month,No,17,112.5,121.0
23027,35,Female,No,Month-to-Month,No,13,145.0,112.0
83713,52,Female,Yes,Two Year,No,4,220.1,78.0
70753,66,Male,No,One year,No,9,92.5,106.0
83827,23,Male,Yes,Month-to-Month,Yes,2,137.5,77.0
38382,54,Male,No,Two Year,Yes,24,127.5,176.0
39466,81,Female,No,Month-to-Month,Yes,8,127.5,103.0
12444,21,Male,No,Month-to-Month,Yes,7,147.5,86.0
61942,47,Male,Yes,Month-to-Month,Yes,5,170.0,73.0
71459,47,Male,No,One year,No,15,137.4,135.0
18062,57,Female,No,Month-to-Month,Yes,10,115.0,80.0
52220,19,Female,No,Two Year,Yes,14,150.0,137.0
16509,52,Female,Yes,One year,No,7,190.1,146.0
41464,84,Female,No,Two Year,Yes,9,175.0,98.0
14072,80,Male,Yes,Month-to-Month,Yes,11,162.5,113.0
14480,58,Male,No,Two Year,Yes,4,105.0,53.0
36272,61,Female,Yes,Month-to-Month,Yes,2,175.0,88.0
25109,47,Male,Yes,Month-to-Month,No,2,252.6,75.0
55983,55,Female,Yes,Month-to-Month,No,5,157.5,53.0
70030,89,Female,No,One year,Yes,8,127.5,71.0
12978,81,Male,Yes,One year,No,2,275.1,65.0
87063,81,Female,No,Month-to-Month,Yes,8,160.0,81.0
23840,43,Male,Yes,Month-to-Month,Yes,7,172.5,87.0
33576,84,Male,Yes,Two Year,Yes,7,212.6,135.0
93240,57,Female,Yes,One year,Yes,18,205.0,160.0
35951,73,Male,No,Two Year,Yes,6,170.0,58.0
83332,37,Male,Yes,Month-to-Month,Yes,2,172.5,98.0
23523,86,Male,No,One year,No,3,162.5,42.0
45685,40,Female,No,Month-to-Month,No,3,125.0,33.0
66027,62,Female,Yes,Month-to-Month,No,3,207.5,58.0
75565,69,Male,No,One year,Yes,3,179.9,41.0
15470,20,Male,No,One year,No,7,140.0,82.0
33461,86,Male,No,One year,No,6,182.5,62.0
7090,82,Female,Yes,One year,No,14,235.1,174.0
30903,49,Female,Yes,Month-to-Month,Yes,10,200.1,146.0
89074,68,Male,Yes,Month-to-Month,Yes,7,162.5,125.0
54873,66,Male,Yes,Month-to-Month,No,7,175.1,93.0
60618,29,Male,No,Two Year,Yes,19,172.5,171.0
45682,20,Male,No,One year,No,5,149.9,102.0
83446,53,Female,Yes,Month-to-Month,No,16,162.5,174.0
44460,27,Male,No,One year,Yes,11,80.0,90.0
42631,56,Male,Yes,Month-to-Month,No,7,195.0,82.0
58712,34,Female,No,Month-to-Month,Yes,35,152.5,328.0
83261,37,Female,No,Month-to-Month,Yes,3,117.5,50.0
15337,82,Female,Yes,Two Year,Yes,16,242.7,172.0
95944,57,Male,No,Month-to-Month,No,3,95.0,68.0
21228,45,Male,Yes,Month-to-Month,Yes,2,182.5,64.0
49667,27,Male,No,Month-to-Month,No,4,95.0,51.0
53561,21,Female,Yes,Month-to-Month,Yes,10,127.4,131.0
76565,66,Female,No,Two Year,No,6,152.5,65.0
26405,51,Female,Yes,Month-to-Month,Yes,7,150.0,73.0
80860,30,Female,Yes,Month-to-Month,No,2,127.5,42.0
